aoi_id,nome_exibicao,operador,municipio,uf,regiao,bioma_estimado,n_predios,predios_json,ano_construcao_min,ano_operacao_min,ano_construcao_max,ano_operacao_max,periodo_pre,periodo_durante,periodo_pos,status_2026,elegivel,criterio_reprovacao,tier,fonte_lista,fontes_url,lat,lon,precisao_coordenada,observacao
algar-tech-uberlandia,Algar Tech Uberlândia – Granja Marileusa,Algar Tech,Uberlândia,MG,Sudeste,Cerrado,1,"[{""nome"": ""Algar Tech Uberlândia – Granja Marileusa"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://www.datacentermap.com/brazil/uberlandia/,,,pendente,Sem ano documentado em nenhuma fonte consultada.
angonap-fortaleza,AngoNAP Fortaleza,Angola Cables,Fortaleza,CE,Nordeste,Caatinga,1,"[{""nome"": ""AngoNAP Fortaleza"", ""ano_construcao"": ""2017"", ""ano_operacao"": ""2019"", ""status"": ""Operacional"", ""fonte"": ""pesquisa_sv24_rodada2""}]",2017,2019,2017,2019,2014-2016,2017-2019,2020-2025,Operacional,True,,1,lista_30,https://teletime.com.br/11/07/2017/angola-cables-comeca-construir-data-center-em-fortaleza/,,,pendente,"REVISADO NA RODADA 2 (SV-24 continuação, 2026-08-31): a lista_30 não tinha coluna de ano; pesquisa dirigida encontrou o ano de início da obra e o ano de operação em fontes públicas. Construção: pedra fundamental lançada em 11/07/2017, marcando o início das fases de fundação, terraplenagem e drenagem, na Praia do Futuro, Fortaleza (https://teletime.com.br/11/07/2017/angola-cables-comeca-construir-data-center-em-fortaleza/ ; confirmado por fonte governamental: https://www.sct.ce.gov.br/2017/07/11/angola-cables-inicia-obras-do-data-center-conectando-o-ceara-a-angola/). Operação: inaugurado em 16/04/2019 (https://www.datacenterdynamics.com/br/opini%C3%B5es/angola-cables-inaugura-data-center-angonap-fortaleza/ ; https://www.fortaleza.ce.gov.br/noticias/prefeito-roberto-claudio-participa-da-inauguracao-do-data-center-da-empresa-angola-cables). Construção 2017 é ERA LANDSAT (pré-2019) — 1º evento datável de Nordeste/Caatinga na série. E2: construção nova em terreno aberto na Praia do Futuro (obra de fundação/terraplenagem documentada, não colocation em prédio existente), área total 9.000 m² (0,9 ha) ao final das fases — pegada da mesma ordem de grandeza de AOIs já aceitas (ex.: scala-spoapa01, 4.070 m²). E3: endereço físico documentado (Praia do Futuro, Fortaleza) em múltiplas fontes de imprensa e prefeitura; coordenada exata fica para SV-25. E4: nenhuma outra AOI elegível em Fortaleza/CE nesta rodada além de ascenty-maracanau (município distinto, Maracanaú, sem fusão automática)."
armazem-joinville,Armazém DC Joinville,Armazém Cloud,Joinville,SC,Sul,Mata Atlântica,1,"[{""nome"": ""Armazém DC Joinville"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://www.armazem.cloud/,,,pendente,Sem ano documentado em nenhuma fonte consultada.
ascenty-campinas-cps1,Ascenty Campinas CPS1,Ascenty,Campinas,SP,Sudeste,Mata Atlântica,1,"[{""nome"": ""Ascenty Campinas CPS1"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://www.datacentermap.com/brazil/campinas/,,,pendente,Sem ano de construção ou operação em nenhuma fonte consultada (lista_30 não tem coluna de ano; não citado na página de referência).
ascenty-hortolandia,Ascenty Hortolândia (campus),Ascenty,Hortolândia,SP,Sudeste,Mata Atlântica,6,"[{""nome"": ""Ascenty Hortolândia 1"", ""ano_construcao"": null, ""ano_operacao"": ""2015"", ""status"": ""Operacional (presumido)"", ""fonte"": ""pagina_referencia_notion""}, {""nome"": ""Ascenty Hortolândia 2"", ""ano_construcao"": ""2018-2019"", ""ano_operacao"": ""2019"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}, {""nome"": ""Ascenty Hortolândia 3"", ""ano_construcao"": ""2018-2019"", ""ano_operacao"": ""2019"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}, {""nome"": ""Ascenty Hortolândia 4"", ""ano_construcao"": ""2020-2021"", ""ano_operacao"": ""2021"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}, {""nome"": ""Ascenty Hortolândia 5"", ""ano_construcao"": ""2021-2022"", ""ano_operacao"": ""2022"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}, {""nome"": ""Ascenty Hortolândia HTL6"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",2018,2015,2021,2022,2015-2017,2018-2022,2023-2025,Operacional,True,,1,lista_20+lista_30,https://www.datacentermap.com/brazil/campinas/,,,pendente,"Fusão de nível AOI: 5 prédios da lista_20 (Hortolândia 2/3/4/5, mesmo operador+município) + HTL6 da lista_30 (mesmo operador+município) + Hortolândia 1 (só na página de referência, sem ano de construção documentado, apenas operação desde 2015). Escada de eventos preservada: construção 2018 (Hortolândia 2/3, ERA LANDSAT — antes de 2019), 2020, 2021; operação 2015, 2019, 2019, 2021, 2022. HTL6 sem data em nenhuma fonte consultada. Coordenada de alta confiança já disponível na página de referência do Notion (fonte primária citada: publicação direta da Ascenty): lat -22.896022, lon -47.179246 (mesmo endereço para Hortolândia 1/2/3/5 — provável geocode do campus, não do prédio individual). Usar como ponto de partida em SV-25. ATENÇÃO — E4 (achado mais importante desta tarefa): esta coordenada de referência fica a ~1,7 km de odata-hortolandia (AOI já aceita), dentro do buffer de 5 km. Ver observação de odata-hortolandia. Marcado elegível porque os 4 critérios E1-E4 são satisfeitos com os dados disponíveis nesta etapa (SV-24 não busca coordenada real), mas a possível colisão de buffer precisa ser resolvida em SV-25 antes de comprometer orçamento de rotulagem manual nas duas."
ascenty-jundiai,Ascenty Jundiaí 2,Ascenty,Jundiaí,SP,Sudeste,Mata Atlântica,1,"[{""nome"": ""Ascenty Jundiaí 2"", ""ano_construcao"": ""2019"", ""ano_operacao"": ""2019"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}]",2019,2019,2019,2019,2016-2018,2019-2019,2020-2025,Operacional,True,,2,lista_20,,,,pendente,"Prédio único, só na lista_20 (nome sugere existir um 'Jundiaí 1' em algum lugar — não citado em nenhuma das duas listas; não inventado aqui). Valor analítico: comparação com Vinhedo/Sumaré/Hortolândia no mesmo eixo industrial, mesma era de sensor. REBALANCEADO NA RODADA 2 (SV-24 continuação, 2026-08-31): movido de tier 1 para tier 2 pelo mesmo motivo de ascenty-paulinia (ver observação daquela AOI) — redundante em bioma/era/UF com outras AOIs de tier 1 agora que o conjunto tem diversidade de bioma real vinda de outras regiões. Mantida elegível, passa a alimentar o conjunto de generalização fora-da-amostra."
ascenty-maracanau,Ascenty Fortaleza 1,Ascenty,Maracanaú,CE,Nordeste,Caatinga,1,"[{""nome"": ""Ascenty Fortaleza 1"", ""ano_construcao"": ""2014"", ""ano_operacao"": ""2015"", ""status"": ""Operacional"", ""fonte"": ""pesquisa_sv24_rodada2+pagina_referencia_notion""}]",2014,2015,2014,2015,2011-2013,2014-2015,2016-2025,Operacional,True,,1,pagina_referencia_notion,https://ascenty.com/en/data-centers-en/location/brazil/ceara/fortaleza-1/,,,pendente,"ADICIONADO NA RODADA 2 (SV-24 continuação, 2026-08-31). Facility citada na página de referência do Notion ('Dados - informações de data centers') mas fora do escopo original de SV-24 por não constar em nenhuma das duas listas oficiais (lista_20/lista_30) — ADR-005 já sinalizava como forte candidato de diversidade regional a reconsiderar. Esta rodada busca e confirma o ano de construção que faltava: obra iniciada em 2014, inaugurado em junho de 2015 como terceiro data center da Ascenty no Brasil e primeiro fora de SP (https://www.datacenterdynamics.com/br/opini%C3%B5es/ascenty-inaugura-data-center-de-r-120-milh%C3%B5es-no-nordeste/). Construção 2014 é ERA LANDSAT (pré-2019) — evento mais antigo do conjunto elegível fora de SP. Coordenada de fonte primária já conhecida da página de referência do Notion (a própria Ascenty publica localização/capacidade da unidade): -3.830803,-38.611253, 9.000 m² de área total (0,9 ha) — pegada visível, E2 passa. lat/lon deste arquivo ficam vazios e precisao_coordenada 'pendente' por não fazer parte do escopo de SV-24 buscar/confirmar coordenada em escala (SV-25); a coordenada acima é só um ponto de partida documentado para SV-25 usar. E3 forte (fonte primária do operador). E4: município Maracanaú é distinto de Fortaleza (angonap-fortaleza) — sem fusão automática; municípios vizinhos na região metropolitana, mas Maracanaú fica ~15-20 km a oeste do centro de Fortaleza e a AngoNAP fica na Praia do Futuro (litoral leste) — plausivelmente fora do buffer de 5 km, mas a confirmação com coordenada exata fica para SV-25."
ascenty-osasco,Ascenty São Paulo 3/4 (Osasco),Ascenty,Osasco,SP,Sudeste,Mata Atlântica,2,"[{""nome"": ""Ascenty São Paulo 3"", ""ano_construcao"": ""2020"", ""ano_operacao"": ""2020"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}, {""nome"": ""Ascenty São Paulo 4"", ""ano_construcao"": ""2022"", ""ano_operacao"": ""2023"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}]",2020,2020,2022,2023,2017-2019,2020-2023,2024-2025,Operacional,True,,1,lista_20,,,,pendente,"Fusão de nível AOI: São Paulo 3 e 4, mesmo operador+município (Osasco), só na lista_20. Caso urbano/metropolitano (l1 chama de 'caso urbano' explicitamente) — contraste de uso do solo com os campi industriais do interior. Possível relação com 'Ascenty SPO06' (lista_30 #9, município 'Grande São Paulo', sem ano): o nome sugere numeração da mesma série (SP3, SP4, SP06...), mas o município da lista_30 é impreciso (não é um município real) e não bate literalmente com 'Osasco' — regra da tarefa veda fusão automática entre municípios diferentes. NÃO fundido aqui; marcado revisar_manualmente para SV-25 confirmar com coordenada real se SPO06 é o mesmo campus."
ascenty-paulinia,Ascenty Paulínia 1,Ascenty,Paulínia,SP,Sudeste,Mata Atlântica,1,"[{""nome"": ""Ascenty Paulínia 1"", ""ano_construcao"": ""2019"", ""ano_operacao"": ""2019"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}]",2019,2019,2019,2019,2016-2018,2019-2019,2020-2025,Operacional,True,,2,lista_20,,,,pendente,"Prédio único, só na lista_20. Inserido em polo industrial/petroquímico (contexto de uso do solo distinto de Vinhedo/Hortolândia, valor analítico mesmo sem diversidade de bioma/era). REBALANCEADO NA RODADA 2 (SV-24 continuação, 2026-08-31): movido de tier 1 para tier 2. Com a chegada de 4 AOIs de novos biomas nesta rodada (Cerrado, Caatinga x2, Amazônia), a prioridade (a) do enunciado (diversidade de bioma) e (b) (era Landsat) já ficam bem cobertas sem esta AOI, que é a 3ª unidade Ascenty de SP/Sudeste/era Sentinel-2/construção 2019 no conjunto (junto com vinhedo e jundiai) — a mais redundante do grupo por esse motivo, exatamente a opção (c) que o ADR-005 já cogitava. Mantida elegível (nenhum critério E1-E4 mudou), só passa a alimentar o conjunto de generalização fora-da-amostra em vez da rotulagem manual."
ascenty-spo06,Ascenty SPO06,Ascenty,Grande São Paulo,SP,Sudeste,Mata Atlântica,1,"[{""nome"": ""Ascenty SPO06"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://ascenty.com/blog/news-ascenty/ascenty-campus-sao-paulo/,,,pendente,"Sem ano documentado. Município 'Grande São Paulo' na lista_30 não é um município real — possível o mesmo campus de ascenty-osasco (São Paulo 3/4), mas regra da tarefa veda fusão automática entre municípios diferentes; revisar_manualmente em SV-25 com coordenada real."
