site_id,municipio,uf,codigo_ibge,ano,faixa_etaria_base,nivel_instrucao,populacao,percentual_do_total,fonte,data_extracao,origem_lista
angonap-fortaleza,Fortaleza,CE,2304400,2010,10 anos ou mais,Fundamental completo e médio incompleto,394590.0,18.73,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2010,10 anos ou mais,Médio completo e superior incompleto,635690.0,30.18,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2010,10 anos ou mais,Sem instrução e fundamental incompleto,855536.0,40.62,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2010,10 anos ou mais,Superior completo,206796.0,9.82,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2010,10 anos ou mais,Total,2106309.0,100.0,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2022,18 anos ou mais,Fundamental completo e médio incompleto,299687.0,15.92,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2022,18 anos ou mais,Médio completo e superior incompleto,745878.0,39.62,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2022,18 anos ou mais,Sem instrução e fundamental incompleto,474763.0,25.22,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2022,18 anos ou mais,Superior completo,362155.0,19.24,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2022,18 anos ou mais,Total,1882484.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2010,10 anos ou mais,Fundamental completo e médio incompleto,34864.0,21.17,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2010,10 anos ou mais,Médio completo e superior incompleto,45546.0,27.66,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2010,10 anos ou mais,Sem instrução e fundamental incompleto,75225.0,45.68,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2010,10 anos ou mais,Superior completo,7471.0,4.54,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2010,10 anos ou mais,Total,164679.0,100.0,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2022,18 anos ou mais,Fundamental completo e médio incompleto,26130.0,14.42,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2022,18 anos ou mais,Médio completo e superior incompleto,85712.0,47.32,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2022,18 anos ou mais,Sem instrução e fundamental incompleto,43071.0,23.78,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2022,18 anos ou mais,Superior completo,26231.0,14.48,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2022,18 anos ou mais,Total,181144.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2010,10 anos ou mais,Fundamental completo e médio incompleto,57973.0,17.83,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2010,10 anos ou mais,Médio completo e superior incompleto,91434.0,28.12,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2010,10 anos ou mais,Sem instrução e fundamental incompleto,120027.0,36.91,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2010,10 anos ou mais,Superior completo,53694.0,16.51,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2010,10 anos ou mais,Total,325159.0,100.0,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2022,18 anos ou mais,Fundamental completo e médio incompleto,45746.0,12.96,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2022,18 anos ou mais,Médio completo e superior incompleto,134559.0,38.12,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2022,18 anos ou mais,Sem instrução e fundamental incompleto,68447.0,19.39,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2022,18 anos ou mais,Superior completo,104265.0,29.54,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2022,18 anos ou mais,Total,353016.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-maracanau,Maracanaú,CE,2307650,2010,10 anos ou mais,Fundamental completo e médio incompleto,35773.0,20.3,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-maracanau,Maracanaú,CE,2307650,2010,10 anos ou mais,Médio completo e superior incompleto,51711.0,29.35,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-maracanau,Maracanaú,CE,2307650,2010,10 anos ou mais,Sem instrução e fundamental incompleto,84053.0,47.7,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-maracanau,Maracanaú,CE,2307650,2010,10 anos ou mais,Superior completo,3696.0,2.1,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
