site_id,tipo,pareado_com,ids_datacenter,n_predios_no_campus,municipio,uf,lat,lon,buffer_km,ano,ano_inicio_obra,ano_fim_obra,ano_relativo_ao_inicio_obra,fase,sensor,resolucao_m,pixels_validos,modelo_versao,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,-3.697276,-38.601757,5.0,2014,2017,2019,-3,pre,landsat,30,111538,rf_v1.0-tuned,1468.8,782.91,115.74,2919.87,4751.1,0.146318,0.077991,0.01153,0.290869,0.473292
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,-3.697276,-38.601757,5.0,2015,2017,2019,-2,pre,landsat,30,111358,rf_v1.0-tuned,1278.09,903.24,112.59,2999.07,4729.23,0.127526,0.090124,0.011234,0.299242,0.471874
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,-3.697276,-38.601757,5.0,2016,2017,2019,-1,pre,landsat,30,111508,rf_v1.0-tuned,1193.94,952.65,94.5,3045.78,4748.85,0.118969,0.094926,0.009416,0.303494,0.473195
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,-3.697276,-38.601757,5.0,2017,2017,2019,0,durante,landsat,30,111528,rf_v1.0-tuned,1314.99,857.43,86.76,3013.83,4764.51,0.131007,0.085422,0.008644,0.300256,0.47467
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,-3.697276,-38.601757,5.0,2018,2017,2019,1,durante,landsat,30,111620,rf_v1.0-tuned,1451.34,840.87,97.38,2917.8,4738.41,0.144472,0.083704,0.009694,0.29045,0.471681
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,-3.697276,-38.601757,5.0,2019,2017,2019,2,durante,landsat,30,111602,rf_v1.0-tuned,1655.91,877.77,86.58,2688.3,4735.62,0.164863,0.087391,0.00862,0.267648,0.471479
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,-3.697276,-38.601757,5.0,2020,2017,2019,3,pos,landsat,30,111550,rf_v1.0-tuned,1670.85,734.31,88.56,2831.04,4714.74,0.166428,0.073142,0.008821,0.28199,0.469619
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,-3.734736,-38.462636,5.0,2014,2017,2019,-3,pre,landsat,30,111304,rf_v1.0-tuned,587.43,941.49,256.32,2837.07,5395.05,0.058641,0.093986,0.025588,0.283215,0.53857
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,-3.734736,-38.462636,5.0,2015,2017,2019,-2,pre,landsat,30,110436,rf_v1.0-tuned,533.52,984.06,217.8,2808.9,5394.96,0.053678,0.099008,0.021913,0.282607,0.542794
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,-3.734736,-38.462636,5.0,2016,2017,2019,-1,pre,landsat,30,111084,rf_v1.0-tuned,534.78,962.82,225.99,2899.53,5374.44,0.053491,0.096305,0.022605,0.290024,0.537575
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,-3.734736,-38.462636,5.0,2017,2017,2019,0,durante,landsat,30,111220,rf_v1.0-tuned,567.81,988.29,226.17,2844.0,5383.53,0.056725,0.098732,0.022595,0.284122,0.537826
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,-3.734736,-38.462636,5.0,2018,2017,2019,1,durante,landsat,30,111298,rf_v1.0-tuned,581.4,947.43,214.2,2896.74,5377.05,0.058042,0.094584,0.021384,0.289188,0.536802
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,-3.734736,-38.462636,5.0,2019,2017,2019,2,durante,landsat,30,111372,rf_v1.0-tuned,642.6,1005.84,171.9,2822.76,5380.38,0.064109,0.100348,0.01715,0.281615,0.536778
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,-3.734736,-38.462636,5.0,2020,2017,2019,3,pos,landsat,30,111272,rf_v1.0-tuned,643.59,1016.73,194.4,2806.11,5353.65,0.064266,0.101526,0.019412,0.280205,0.534591
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,-22.968204,-47.044123,5.0,2015,2018,2022,-3,pre,landsat,30,111556,rf_v1.0-tuned,682.83,4159.62,82.62,5078.43,36.54,0.068011,0.414303,0.008229,0.505818,0.003639
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,-22.968204,-47.044123,5.0,2016,2018,2022,-2,pre,landsat,30,111419,rf_v1.0-tuned,841.32,4176.09,66.87,4904.73,38.7,0.0839,0.416455,0.006669,0.489118,0.003859
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,-22.968204,-47.044123,5.0,2017,2018,2022,-1,pre,landsat,30,111544,rf_v1.0-tuned,693.9,4100.13,80.82,5131.35,32.76,0.069121,0.408422,0.008051,0.511144,0.003263
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,-22.968204,-47.044123,5.0,2018,2018,2022,0,durante,landsat,30,111309,rf_v1.0-tuned,740.97,4191.75,78.93,4970.7,35.46,0.073965,0.41843,0.007879,0.496186,0.00354
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,-22.968204,-47.044123,5.0,2019,2018,2022,1,durante,landsat,30,111555,rf_v1.0-tuned,1193.58,3985.38,53.37,4769.19,38.43,0.118883,0.396952,0.005316,0.475021,0.003828
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,-22.968204,-47.044123,5.0,2020,2018,2022,2,durante,landsat,30,111552,rf_v1.0-tuned,1251.72,4009.5,50.76,4687.92,39.78,0.124677,0.399365,0.005056,0.466939,0.003962
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,-22.968204,-47.044123,5.0,2021,2018,2022,3,durante,landsat,30,111552,rf_v1.0-tuned,374.76,3963.15,64.26,5604.21,33.3,0.037328,0.394749,0.006401,0.558206,0.003317
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,-22.968204,-47.044123,5.0,2022,2018,2022,4,durante,landsat,30,111556,rf_v1.0-tuned,962.19,3938.58,53.91,5050.35,35.01,0.095835,0.392287,0.00537,0.503021,0.003487
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,-22.896022,-47.179246,5.0,2015,2018,2022,-3,pre,landsat,30,111538,rf_v1.0-tuned,889.65,4168.71,112.68,4833.9,33.48,0.088625,0.415276,0.011225,0.48154,0.003335
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,-22.896022,-47.179246,5.0,2016,2018,2022,-2,pre,landsat,30,111550,rf_v1.0-tuned,621.0,4148.55,117.27,5121.72,30.96,0.061856,0.413223,0.011681,0.510157,0.003084
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,-22.896022,-47.179246,5.0,2017,2018,2022,-1,pre,landsat,30,111556,rf_v1.0-tuned,597.33,4018.68,119.7,5275.17,29.16,0.059495,0.400265,0.011922,0.525413,0.002904
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,-22.896022,-47.179246,5.0,2018,2018,2022,0,durante,landsat,30,111553,rf_v1.0-tuned,607.05,4085.64,116.28,5202.18,28.62,0.060465,0.406946,0.011582,0.518157,0.002851
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,-22.896022,-47.179246,5.0,2019,2018,2022,1,durante,landsat,30,111548,rf_v1.0-tuned,945.18,4124.52,94.32,4846.95,28.35,0.094148,0.410837,0.009395,0.482797,0.002824
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,-22.896022,-47.179246,5.0,2020,2018,2022,2,durante,landsat,30,111555,rf_v1.0-tuned,765.0,4093.65,109.98,5040.81,30.51,0.076196,0.407736,0.010954,0.502075,0.003039
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,-22.896022,-47.179246,5.0,2021,2018,2022,3,durante,landsat,30,111550,rf_v1.0-tuned,431.64,3735.0,113.22,5735.79,23.85,0.042994,0.37203,0.011277,0.571322,0.002376
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,-22.896022,-47.179246,5.0,2022,2018,2022,4,durante,landsat,30,111556,rf_v1.0-tuned,485.1,3855.78,101.61,5568.12,29.43,0.048317,0.38404,0.01012,0.554591,0.002931
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,dc_1e8c6816f0,1,Campo Limpo Paulista,SP,-23.24767,-46.74807,5.0,2016,2019,2019,-3,pre,landsat,30,112225,rf_v1.0-tuned,3083.04,4340.88,24.21,2634.3,17.82,0.305244,0.429779,0.002397,0.260815,0.001764
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,dc_1e8c6816f0,1,Campo Limpo Paulista,SP,-23.24767,-46.74807,5.0,2017,2019,2019,-2,pre,landsat,30,112225,rf_v1.0-tuned,3047.85,4315.95,23.49,2697.66,15.3,0.30176,0.427311,0.002326,0.267088,0.001515
