site_id,municipio,uf,codigo_ibge,ano,pib_mil_reais,fonte,data_extracao,origem_lista
angonap-fortaleza,Fortaleza,CE,2304400,2016,60088001.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2017,61592347.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2018,66381302.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2019,67401430.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2020,64821582.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2021,73437739.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2022,81362333.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2023,86939832.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2016,11245733.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2017,12411319.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2018,13154947.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2019,14738378.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2020,16386639.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2021,18377822.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2022,21420797.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2023,22163924.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2016,40317016.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2017,41084447.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2018,43630306.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2019,46959283.0,"Reaproveitado de teste_api_municipios_brasil_serie_historica_2010.csv (Guilherme, datacenter-extracao-modelos/data/01_bronze/) — confirmado por amostragem cruzada como leitura de IBGE SIDRA tabela 5938 'Produto Interno Bruto dos Municipios - Referencia 2010', variavel 37 'Produto Interno Bruto a precos correntes' (Mil Reais)",2026-09-03,sites_validados
