site_id,municipio,uf,codigo_ibge,ano,populacao,tipo_estimativa,fonte,data_extracao
angonap-fortaleza,Fortaleza,CE,2304400,2016,2609716,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2017,2627482,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2018,2643247,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2019,2669342,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2020,2686612,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2021,2703391,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2022,2428708,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2024,2574412,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2025,2578483,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2016,219039,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2017,222186,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2018,227353,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2019,230851,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2020,234259,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2021,237570,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2022,236641,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2024,247331,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2025,248842,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2016,405740,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2017,409497,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2018,414810,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2019,418962,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2020,423006,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2021,426935,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2022,443221,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2024,460313,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2025,463039,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2016,223188,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2017,224804,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2018,226128,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2019,227886,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2020,229458,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2021,230986,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2022,234509,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2024,249684,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2025,251613,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-osasco,Osasco,SP,3534401,2016,696382,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-osasco,Osasco,SP,3534401,2017,697886,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-osasco,Osasco,SP,3534401,2018,696850,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-osasco,Osasco,SP,3534401,2019,698418,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-osasco,Osasco,SP,3534401,2020,699944,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-osasco,Osasco,SP,3534401,2021,701428,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
