site_id,municipio,uf,codigo_ibge,ano,renda_media_per_capita_reais,renda_mediana_per_capita_reais,fonte,data_extracao,origem_lista
angonap-fortaleza,Fortaleza,CE,2304400,2022,1668.98,900.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
ascenty-hortolandia,Hortolândia,SP,3519071,2022,1619.28,1233.33,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
ascenty-jundiai,Jundiaí,SP,3525904,2022,2774.36,1810.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
ascenty-maracanau,Maracanaú,CE,2307650,2022,910.74,670.67,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2022,1951.14,1250.25,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2022,2680.07,1750.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2022,1586.3,1200.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2022,3247.77,1856.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2022,1284.7,686.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2022,3465.07,1500.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
everest-goiania,Goiânia,GO,5208707,2022,2668.8,1450.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
hostdime-joao-pessoa,João Pessoa,PB,2507507,2022,1879.0,1000.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
odata-hortolandia,Hortolândia,SP,3519071,2022,1619.28,1233.33,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
pecem-datacenter,São Gonçalo do Amarante,CE,2312403,2022,834.41,606.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,datacentermap_novo
rtone-uberlandia,Uberlândia,MG,3170206,2022,2079.68,1333.33,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,datacentermap_novo
scala-ai-city,Eldorado do Sul,RS,4306767,2022,1573.59,1106.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,datacentermap_novo
scala-sgigsm01,São João de Meriti,RJ,3305109,2022,1042.94,820.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
scala-spoapa01,Porto Alegre,RS,4314902,2022,3203.31,1700.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
scala-tambore,Barueri,SP,3505708,2022,2412.35,1302.4,"IBGE - Censo Demografico 2022, SIDRA tabela 10295 (Moradores em domicilios particulares permanentes ocupados... valor do rendimento domiciliar mensal per capita, medio e mediano)",2026-09-03,sites_validados
