campus,site_id,tipo,zona,procedencia,sensor,footprint_excluido,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,validado_5_camadas,landsat,True,855,14,9,7,1.6374269005847952,1.0526315789473684,0.8187134502923976
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,validado_5_camadas,landsat,False,2597,107,52,93,4.120138621486331,2.002310358105506,3.5810550635348477
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,validado_5_camadas,landsat,False,10457,108,40,55,1.032800994549106,0.3825188868700392,0.5259634694463039
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,validado_5_camadas,landsat,False,875,16,3,15,1.8285714285714285,0.34285714285714286,1.7142857142857142
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2628,47,2,37,1.7884322678843227,0.076103500761035,1.4079147640791476
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,validado_5_camadas,landsat,False,10458,121,1,100,1.1570089883342896,0.009562057754828839,0.9562057754828839
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,validado_5_camadas,landsat,True,846,19,6,9,2.2458628841607564,0.7092198581560284,1.0638297872340425
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,validado_5_camadas,landsat,False,2618,62,33,28,2.3682200152788386,1.2605042016806722,1.0695187165775402
ascenty-osasco,ascenty-osasco,tratamento,1-2km,validado_5_camadas,landsat,False,10449,263,95,151,2.5169872715092354,0.9091779117618911,1.4451143650110059
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,validado_5_camadas,landsat,False,754,15,4,9,1.9893899204244032,0.5305039787798409,1.193633952254642
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2548,74,25,21,2.904238618524333,0.9811616954474097,0.8241758241758241
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,validado_5_camadas,landsat,False,10233,216,91,66,2.1108179419525066,0.8892797811003615,0.6449721489299326
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,validado_5_camadas,landsat,True,847,53,32,34,6.257378984651712,3.7780401416765055,4.014167650531287
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,validado_5_camadas,landsat,False,2610,157,94,95,6.015325670498084,3.6015325670498086,3.6398467432950192
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,validado_5_camadas,landsat,False,10486,283,70,157,2.6988365439633797,0.6675567423230975,1.4972344077818043
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,validado_5_camadas,landsat,False,871,20,5,7,2.296211251435132,0.574052812858783,0.8036739380022963
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,validado_5_camadas,landsat,False,2627,43,9,16,1.6368481157213552,0.34259611724400457,0.6090597639893415
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,validado_5_camadas,landsat,False,10469,169,39,95,1.6142898080045849,0.3725284172318273,0.9074410163339383
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,validado_5_camadas,landsat,False,764,9,7,2,1.1780104712041886,0.9162303664921466,0.2617801047120419
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,validado_5_camadas,landsat,True,2595,24,8,16,0.9248554913294798,0.30828516377649323,0.6165703275529865
ascenty-vinhedo,ascenty-vinhedo,tratamento,1-2km,validado_5_camadas,landsat,False,10453,82,43,24,0.7844637902994356,0.4113651583277528,0.22959915813642018
