recorte,zona,assinatura,n_pares,n_positivo,frac_positivo,p_unilateral,excesso_mediano_pp
so_validados,0-0.5km,virou_construida,13,10,0.769,0.0461,1.4447
so_validados,0-0.5km,vegetacao_para_construida,13,9,0.692,0.1334,0.3574
so_validados,0.5-1km,virou_construida,15,13,0.867,0.0037,0.8737
so_validados,0.5-1km,vegetacao_para_construida,15,10,0.667,0.1509,0.6645
so_validados,1-2km,virou_construida,15,9,0.6,0.3036,0.5793
so_validados,1-2km,vegetacao_para_construida,15,9,0.6,0.3036,0.2058
so_expansao,0-0.5km,virou_construida,3,2,0.667,0.5,1.7134
so_expansao,0-0.5km,vegetacao_para_construida,3,2,0.667,0.5,1.7136
so_expansao,0.5-1km,virou_construida,5,5,1.0,0.0312,1.2343
so_expansao,0.5-1km,vegetacao_para_construida,5,5,1.0,0.0312,0.2436
so_expansao,1-2km,virou_construida,5,4,0.8,0.1875,2.3223
so_expansao,1-2km,vegetacao_para_construida,5,3,0.6,0.5,0.2285
conjunto,0-0.5km,virou_construida,16,12,0.75,0.0384,1.4904
conjunto,0-0.5km,vegetacao_para_construida,16,11,0.688,0.1051,0.5169
conjunto,0.5-1km,virou_construida,20,18,0.9,0.0002,1.054
conjunto,0.5-1km,vegetacao_para_construida,20,15,0.75,0.0207,0.454
conjunto,1-2km,virou_construida,20,13,0.65,0.1316,0.6237
conjunto,1-2km,vegetacao_para_construida,20,12,0.6,0.2517,0.2172
