site_id,nome,municipio,uf,lat,lon,n_predios_no_campus,ano_operacional,ano_inicio_obra,sensor_da_janela,dist_ao_site_validado_mais_proximo_km,procedencia,elegivel,motivo_exclusao
exp-elea-rjo1,Elea RJO1,Rio de Janeiro,Rio de Janeiro,-22.9683248,-43.3805263,5,2016,2015,landsat,18.93,datacentermap,True,
exp-latitude-sh-sao,Latitude.sh SAO,Sao Paulo,SP,-23.5799648,-46.6410651,1,2016,2015,landsat,16.96,datacentermap,True,
exp-sitelbra-data-center,Sitelbra Data Center,Brasília,DF,-15.7470383,-47.9233792,1,2016,2015,landsat,175.23,datacentermap,True,
exp-sky-brasil---jaguariuna,SKY Brasil - Jaguariúna,Jaguariúna,,-22.69018744044072,-47.01333787517029,1,2016,2015,landsat,17.22,datacentermap,True,
exp-odata-sp01,ODATA SP01,"Votuparim, Santana de Parnaíba",,-23.4550357423391,-46.91510647119536,2,2017,2016,landsat,5.66,datacentermap,True,
exp-quantico-data-center,Quântico Data Center,Canoas,Rio Grande do Sul (RS),-29.9040072,-51.1283808,1,2021,2020,landsat,12.88,datacentermap,True,
exp-asap-sp1,ASAP SP1,São Paulo,SP,-23.6761714,-46.6992381,2,2022,2021,landsat,21.94,datacentermap,True,
exp-idx-data-centers---it-services,IDX Data Centers & IT Services,Palmas,Tocantins,-10.1875328,-48.340776,1,2022,2021,landsat,729.67,datacentermap,True,
exp-to-host-data-centers,TO HOST Data Centers,Palmas,Tocantins,-10.2048941,-48.3529666,1,2023,2022,landsat,727.58,datacentermap,True,
exp-netwise-empresas,NETWISE EMPRESAS,Lagoa da Prata,Minas Gerais,-20.0346344,-45.5247215,1,2024,2023,s2,349.48,datacentermap,True,
exp-ada-sao-paulo,ADA Sao Paulo,Sao Paulo,,-23.5902486,-46.6818551,3,1990,1989,,14.6,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-getti-data-center,GetTI Data Center,Maringa,Parana,-23.4179188,-51.9354338,2,1995,1994,,486.98,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-equinix-sp1,Equinix SP1,São Paulo,SP,-23.54601881056474,-46.63581758737564,2,1998,1997,,15.61,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-odata-sp03,ODATA SP03,"Tamboré, Barueri",,-23.502083727189984,-46.82507025582267,17,2000,1999,,1.46,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-cirion-rio2,Cirion RIO2,Rio de Janeiro,,-22.9049036,-43.2159206,6,2001,2000,,18.33,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-locaweb-data-center-itapaiuna,Locaweb Data Center Itapaiuna,Sao Paulo,São Paulo,-23.6416742,-46.7288851,5,2001,2000,,17.33,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-elea-spo3,Elea SPO3,Barueri,,-23.5013594,-46.8473233,1,2001,2000,,3.57,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-ferenz-networks-servicos-de-internet-ltd,FERENZ NETWORKS SERVIÇOS DE INTERNET LTDA,Xaxim,SC,-26.968319,-52.5254562,2,2004,2003,,361.48,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-b3-data-center,B3 Data Center,Santana de Parnaiba,,-23.4662448,-46.863993,8,2006,2005,,0.77,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-scala-data-centers-campinas-campus,Scala Data Centers Campinas Campus,Campinas,,-22.8201867012489,-47.10015515397768,4,2009,2008,,4.34,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-sonda-ativas,Sonda Ativas,Belo Horizonte,MG,-19.942833,-44.011552,1,2011,2010,,324.91,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-cwb-hn-01,CWB-HN 01,Curitiba,Paraná,-25.44583383579607,-49.26575676773692,2,2011,2010,,328.68,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-vivo-sao-paulo---guarulhos-data-center,Vivo São Paulo - Guarulhos Data Center,Guarulhos,São Paulo,-23.456573,-46.537871,1,2011,2010,,24.73,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-avato-joinville,Avato Joinville,Joinville,,-26.26412048317817,-48.85177190343191,1,2012,2011,,370.27,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-claro-data-center-lapa,Claro Data Center LAPA,São Paulo,,-23.54195739494818,-46.70931247916715,1,2012,2011,,8.86,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-equinix-rj2,Equinix RJ2,Rio de Janeiro,Rio de Janeiro,-22.87137100666576,-43.2732367515564,1,2013,2012,,11.46,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-hostdime-brazil--sao-paulo,HostDime Brazil (São Paulo),Cotia,,-23.5979056,-46.8488169,2,2013,2012,,12.03,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
exp-ascenty---jundiai-jdi1,Ascenty - Jundiai JDI1,Jundiaí,Jundiaí,-23.1919541,-46.9742117,2,2014,2013,,0.05,datacentermap,False,obra antes de 2016 (sem janela pré no Landsat 8)
