feature,importancia_impureza_media,importancia_impureza_dp,permutacao_ap_media,permutacao_ap_dp,n_folds_com_ganho
frac_construida_90m,0.1426,0.009152,0.034768,0.019886,20
confianca_media_pre,0.028845,0.001802,0.0321,0.022536,20
dist_construida_m,0.178997,0.005054,0.018958,0.01079,20
delta_frac_construida_150m,0.028438,0.0025,0.018018,0.011689,20
frac_construida_150m,0.090907,0.008751,0.017477,0.015535,20
pre_classe_solo_exposto_obras,0.046846,0.002931,0.016776,0.013663,19
frac_veg_densa_90m,0.017956,0.001233,0.013722,0.007581,20
frac_construida_330m,0.04892,0.001586,0.009679,0.004752,20
pre_classe_vegetacao_rala,0.015648,0.001519,0.008913,0.006241,20
frac_solo_exposto_90m,0.134306,0.008234,0.008333,0.010421,16
pre_classe_vegetacao_densa,0.007173,0.000571,0.004585,0.002509,20
estavel_pre,0.003418,0.000261,0.004174,0.002899,19
frac_veg_densa_150m,0.014431,0.001355,0.002872,0.002737,17
frac_solo_exposto_150m,0.107129,0.008126,0.001712,0.0082,14
frac_veg_densa_330m,0.014083,0.000908,0.001236,0.003342,13
pre_classe_agua,0.003107,0.000305,0.000825,0.001388,16
dist_centro_m,0.016082,0.001113,0.000766,0.003179,15
frac_solo_exposto_330m,0.08857,0.009567,0.000244,0.007708,11
pre_classe_construida_urbana,0.0,0.0,0.0,0.0,0
sensor_landsat,0.012544,0.001903,0.0,0.0,0
