campus,n_pixels,n_positivos,prevalencia,pr_auc_modelo,pr_auc_dist,pr_auc_prevalencia,ganho_relativo_vs_dist,ganho_relativo_vs_prevalencia,roc_auc_modelo
angonap-fortaleza,114825,1156,0.010067,0.311641,0.110893,0.010067,1.810278,29.955202,0.974055
ascenty-hortolandia,80290,4005,0.049882,0.218727,0.10585,0.049882,1.066376,3.384907,0.786194
ascenty-jundiai,122417,3054,0.024948,0.248746,0.089816,0.024948,1.769491,8.970771,0.891335
ascenty-maracanau,109453,5855,0.053493,0.306107,0.143677,0.053493,1.130518,4.722352,0.889393
ascenty-osasco,66621,2409,0.03616,0.222786,0.096535,0.03616,1.30782,5.161153,0.857743
ascenty-paulinia,93767,5373,0.057302,0.173917,0.100551,0.057302,0.729646,2.03512,0.751782
ascenty-sumare,100433,3740,0.037239,0.202029,0.069348,0.037239,1.913266,4.425222,0.788272
ascenty-vinhedo,125710,2911,0.023156,0.186976,0.070772,0.023156,1.641934,7.07444,0.839628
clickip-manaus,1091436,21539,0.019735,0.348094,0.191604,0.019735,0.81674,16.638814,0.958194
equinix-santana-parnaiba,123862,3381,0.027297,0.300019,0.080258,0.027297,2.738192,9.991098,0.848707
everest-goiania,77111,3589,0.046543,0.228166,0.10288,0.046543,1.217782,3.90223,0.778798
exp-asap-sp1,40376,2187,0.054166,0.286954,0.124919,0.054166,1.297121,4.297689,0.868645
exp-elea-rjo1,101525,1697,0.016715,0.172294,0.079367,0.016715,1.170847,9.307686,0.918772
exp-idx-data-centers---it-services,106460,5919,0.055598,0.336662,0.179259,0.055598,0.878076,5.055247,0.89372
exp-netwise-empresas,1417118,8488,0.00599,0.179179,0.073542,0.00599,1.436412,28.914835,0.943443
exp-to-host-data-centers,1415576,25070,0.01771,0.236371,0.141012,0.01771,0.676244,12.346662,0.94829
hostdime-joao-pessoa,105469,2660,0.025221,0.218446,0.124292,0.025221,0.757525,7.661403,0.908201
scala-sgigsm01,502555,36096,0.071825,0.480708,0.265016,0.071825,0.813881,5.692763,0.933484
scala-spoapa01,875629,40173,0.045879,0.337291,0.197404,0.045879,0.708631,6.351756,0.932291
scala-tambore,109159,1885,0.017268,0.21225,0.079753,0.017268,1.661352,11.291246,0.902317
AGREGADO,6779792,181187,0.026725,0.295445,0.16132,0.026725,0.831418,10.055182,0.915139
