campus,site_id,tipo,zona,sensor,classe_id,classe,pct_inicio,pct_fim,delta_pp
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,1,vegetacao_densa,0.1157,0.9259,0.8102
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2,vegetacao_rala,13.7731,24.2477,10.4745
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,3,solo_exposto_obras,8.1597,3.0093,-5.1505
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,4,construida_urbana,77.9514,71.8171,-6.1343
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,5,agua,0.0,0.0,0.0
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,1,vegetacao_densa,1.0181,2.1493,1.1312
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2,vegetacao_rala,9.0875,12.1795,3.092
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,3,solo_exposto_obras,10.7843,8.8612,-1.9231
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,4,construida_urbana,72.8884,71.6817,-1.2066
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,5,agua,6.2217,5.1282,-1.0935
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,1,vegetacao_densa,39.7291,40.1242,0.395
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2,vegetacao_rala,9.1422,9.0293,-0.1129
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,3,solo_exposto_obras,0.5643,1.0158,0.4515
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,4,construida_urbana,50.3386,49.7743,-0.5643
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,5,agua,0.2257,0.0564,-0.1693
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,1,vegetacao_densa,22.4884,24.4322,1.9438
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2,vegetacao_rala,4.8066,5.0719,0.2653
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,3,solo_exposto_obras,2.2224,2.025,-0.1974
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,4,construida_urbana,27.0644,26.6654,-0.399
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,5,agua,43.4182,41.8055,-1.6128
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,1,vegetacao_densa,2.0202,2.5253,0.5051
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2,vegetacao_rala,32.8283,32.1789,-0.6494
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,3,solo_exposto_obras,0.2165,0.4329,0.2165
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,4,construida_urbana,64.9351,64.8629,-0.0722
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,5,agua,0.0,0.0,0.0
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,1,vegetacao_densa,0.9167,1.4706,0.5539
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2,vegetacao_rala,25.4011,24.2934,-1.1077
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,3,solo_exposto_obras,0.3438,0.382,0.0382
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,4,construida_urbana,73.262,73.7968,0.5348
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,5,agua,0.0764,0.0573,-0.0191
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,1,vegetacao_densa,9.2105,9.4394,0.2288
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2,vegetacao_rala,38.2151,36.6133,-1.6018
