id_datacenter,site_id,ponto_num,ponto_latitude,ponto_longitude,raio_hexagono_km,dist_ao_proprio_dc_km,site_tratamento_mais_proximo,dist_ao_tratamento_mais_proximo_km,contaminado
dc_1e8c6816f0,ascenty-jundiai,1,-23.224139,-47.132732,9.12,16.72,ascenty-jundiai,16.58,False
dc_1e8c6816f0,ascenty-jundiai,2,-23.265129,-47.055415,9.12,11.66,ascenty-jundiai,11.6,False
dc_1e8c6816f0,ascenty-jundiai,3,-23.347147,-47.055368,9.12,19.09,ascenty-jundiai,19.09,False
dc_1e8c6816f0,ascenty-jundiai,4,-23.388175,-47.132732,9.12,27.14,ascenty-jundiai,27.11,False
dc_1e8c6816f0,ascenty-jundiai,5,-23.347147,-47.210096,9.12,29.7,ascenty-jundiai,29.61,False
dc_1e8c6816f0,ascenty-jundiai,6,-23.265129,-47.210049,9.12,25.56,ascenty-jundiai,25.43,False
dc_211c584638,ascenty-sumare,1,-23.038853,-47.21801,5.57,24.92,odata-hortolandia,15.6,False
dc_211c584638,ascenty-sumare,2,-23.063892,-47.17086,5.57,28.03,ascenty-vinhedo,16.3,False
dc_211c584638,ascenty-sumare,3,-23.113984,-47.170843,5.57,33.52,ascenty-vinhedo,17.0,False
dc_211c584638,ascenty-sumare,4,-23.139037,-47.21801,5.57,36.01,ascenty-vinhedo,22.46,False
dc_211c584638,ascenty-sumare,5,-23.113984,-47.265177,5.57,33.66,odata-hortolandia,24.81,False
dc_211c584638,ascenty-sumare,6,-23.063892,-47.26516,5.57,28.19,odata-hortolandia,19.56,False
dc_23c0e2a666,ascenty-hortolandia,1,-23.250878,-45.96578,5.9,130.46,ascenty-osasco,87.16,False
dc_23c0e2a666,ascenty-hortolandia,2,-23.2774,-45.915757,5.9,136.22,ascenty-osasco,91.23,False
dc_23c0e2a666,ascenty-hortolandia,3,-23.33046,-45.915737,5.9,138.14,ascenty-osasco,89.86,False
dc_23c0e2a666,ascenty-hortolandia,4,-23.356998,-45.96578,5.9,134.43,ascenty-osasco,84.27,False
dc_23c0e2a666,ascenty-hortolandia,5,-23.33046,-46.015823,5.9,128.58,ascenty-osasco,79.86,False
dc_23c0e2a666,ascenty-hortolandia,6,-23.2774,-46.015803,5.9,126.52,ascenty-osasco,81.4,False
dc_2b7c5d95d1,ascenty-hortolandia,1,-23.250608,-45.96578,5.93,130.4,ascenty-osasco,87.17,False
dc_2b7c5d95d1,ascenty-hortolandia,2,-23.277265,-45.915503,5.93,136.2,ascenty-osasco,91.26,False
dc_2b7c5d95d1,ascenty-hortolandia,3,-23.330595,-45.915482,5.93,138.12,ascenty-osasco,89.88,False
dc_2b7c5d95d1,ascenty-hortolandia,4,-23.357268,-45.96578,5.93,134.39,ascenty-osasco,84.27,False
dc_2b7c5d95d1,ascenty-hortolandia,5,-23.330595,-46.016078,5.93,128.52,ascenty-osasco,79.83,False
dc_2b7c5d95d1,ascenty-hortolandia,6,-23.277265,-46.016057,5.93,126.44,ascenty-osasco,81.38,False
dc_3357273eaa,ascenty-hortolandia,1,-23.251597,-45.96578,5.82,130.53,ascenty-osasco,87.14,False
dc_3357273eaa,ascenty-hortolandia,2,-23.27776,-45.916435,5.82,136.22,ascenty-osasco,91.15,False
dc_3357273eaa,ascenty-hortolandia,3,-23.330101,-45.916416,5.82,138.12,ascenty-osasco,89.8,False
dc_3357273eaa,ascenty-hortolandia,4,-23.356279,-45.96578,5.82,134.46,ascenty-osasco,84.29,False
