classificador,raio_km,assinatura,n_pares,n_positivo,frac_positivo,p_unilateral,excesso_mediano_pp
dynamic_world,0.5,virou_construida,14,9,0.643,0.212,0.624
rf_v1.0-tuned,0.5,virou_construida,10,9,0.9,0.0107,1.6662
dynamic_world,0.5,vegetacao_para_construida,14,9,0.643,0.212,0.7069
rf_v1.0-tuned,0.5,vegetacao_para_construida,10,8,0.8,0.0547,0.6246
dynamic_world,1.0,virou_construida,14,8,0.571,0.3953,0.3976
rf_v1.0-tuned,1.0,virou_construida,10,10,1.0,0.001,1.1909
dynamic_world,1.0,vegetacao_para_construida,14,9,0.643,0.212,0.3873
rf_v1.0-tuned,1.0,vegetacao_para_construida,10,9,0.9,0.0107,0.6663
dynamic_world,2.0,virou_construida,14,10,0.714,0.0898,0.4372
rf_v1.0-tuned,2.0,virou_construida,10,6,0.6,0.377,0.6075
dynamic_world,2.0,vegetacao_para_construida,14,10,0.714,0.0898,0.1585
rf_v1.0-tuned,2.0,vegetacao_para_construida,10,6,0.6,0.377,0.4107
dynamic_world,0.5-1km,virou_construida,14,9,0.643,0.212,0.3262
rf_v1.0-tuned,0.5-1km,virou_construida,14,14,1.0,0.0001,1.5885
dynamic_world,0.5-1km,vegetacao_para_construida,14,9,0.643,0.212,0.2713
rf_v1.0-tuned,0.5-1km,vegetacao_para_construida,14,12,0.857,0.0065,0.7501
