campus,resolucao_m,pct_tratamento,px_tratamento,pct_controle,px_controle,excesso_pp
ascenty-jundiai,10,9.731059641978451,23574,1.9433129667345552,23568,7.787746675243896
ascenty-jundiai,30,9.697201993100805,2609,1.9098548510313216,2618,7.787347142069484
ascenty-osasco,10,1.5617042946868105,23564,2.3033850852634257,23574,-0.7416807905766152
ascenty-osasco,30,1.530221882172915,2614,2.407336645013374,2617,-0.8771147628404592
ascenty-paulinia,10,5.43395265970985,23574,0.5514316012725344,23575,4.882521058437316
ascenty-paulinia,30,5.51301684532925,2612,0.6471259992386753,2627,4.865890846090574
ascenty-vinhedo,10,3.9747179095613814,23574,0.9715328157481651,23571,3.003185093813216
ascenty-vinhedo,30,3.9035591274397246,2613,1.147227533460803,2615,2.7563315939789215
clickip-manaus,10,1.0141827113540924,25242,0.9369811022376848,25294,0.07720160911640761
clickip-manaus,30,0.9252669039145908,2810,0.8877840909090909,2816,0.03748281300549983
equinix-santana-parnaiba,10,1.9144239748705323,23558,2.122241086587436,23560,-0.20781711171690387
equinix-santana-parnaiba,30,1.9839755818389928,2621,1.8781142200076657,2609,0.1058613618313271
everest-goiania,10,0.30434966394724605,23657,0.021128248468201986,23665,0.28322141547904406
everest-goiania,30,0.3429878048780488,2624,0.03808073115003808,2626,0.30490707372801074
scala-sgigsm01,10,5.973761304292447,23553,0.2037092051097059,23563,5.770052099182741
scala-sgigsm01,30,6.010719754977029,2612,0.1524390243902439,2624,5.8582807305867854
scala-spoapa01,10,0.0,23760,0.0,23763,0.0
scala-spoapa01,30,0.0,2638,0.0,2635,0.0
scala-tambore,10,0.840371800857349,23561,2.0208881718604057,23554,-1.1805163710030566
scala-tambore,30,0.9191880505553428,2611,2.0306513409961684,2610,-1.1114632904408257
exp-asap-sp1,10,0.39473684210526316,23560,0.02546257002206756,23564,0.36927427208319563
exp-asap-sp1,30,0.34429992348890587,2614,0.0,2608,0.34429992348890587
exp-idx-data-centers---it-services,10,1.232267626508575,23615,1.528754128906581,23614,-0.2964865023980059
exp-idx-data-centers---it-services,30,1.2595419847328244,2620,1.3761467889908257,2616,-0.11660480425800124
exp-to-host-data-centers,10,5.624920641638803,23627,1.3506647472266915,23618,4.274255894412112
exp-to-host-data-centers,30,5.47945205479452,2628,1.4143730886850152,2616,4.065078966109505
exp-netwise-empresas,10,0.7768721344880285,23556,0.0,23534,0.7768721344880285
exp-netwise-empresas,30,1.0293556995806328,2623,0.0,2608,1.0293556995806328
