controle,instrumento,ano_de,ano_para,px_trocaram,px_validos,pct_trocaram,par_comum
ctrl-angonap-fortaleza-p01,rf_v1.0-tuned,2014,2015,9454,111010,8.516349878389335,False
ctrl-angonap-fortaleza-p01,rf_v1.0-tuned,2015,2016,9170,110978,8.262898952945628,False
ctrl-angonap-fortaleza-p01,rf_v1.0-tuned,2016,2017,7392,111151,6.650412501911814,False
ctrl-angonap-fortaleza-p01,rf_v1.0-tuned,2017,2018,8413,111258,7.561703428068094,False
ctrl-angonap-fortaleza-p01,rf_v1.0-tuned,2018,2019,9390,111332,8.434232745302339,False
ctrl-angonap-fortaleza-p01,rf_v1.0-tuned,2019,2020,8442,111262,7.587496180187306,False
ctrl-ascenty-hortolandia-p01,rf_v1.0-tuned,2015,2016,15174,111419,13.618862133029376,False
ctrl-ascenty-hortolandia-p01,rf_v1.0-tuned,2016,2017,14273,111407,12.811582755123107,False
ctrl-ascenty-hortolandia-p01,rf_v1.0-tuned,2017,2018,13518,111309,12.14457051990405,False
ctrl-ascenty-hortolandia-p01,rf_v1.0-tuned,2018,2019,16544,111309,14.863128767664788,False
ctrl-ascenty-hortolandia-p01,rf_v1.0-tuned,2019,2020,13154,111551,11.791915805326711,False
ctrl-ascenty-hortolandia-p01,rf_v1.0-tuned,2020,2021,22947,111550,20.571044374719857,False
ctrl-ascenty-jundiai-p01,rf_v1.0-tuned,2016,2017,13104,112225,11.676542659835153,True
ctrl-ascenty-jundiai-p01,rf_v1.0-tuned,2017,2018,14007,112224,12.4812874251497,True
ctrl-ascenty-jundiai-p01,rf_v1.0-tuned,2018,2019,19239,112224,17.143391787852867,True
ctrl-ascenty-jundiai-p01,rf_v1.0-tuned,2019,2020,15568,112225,13.872131877923813,True
ctrl-ascenty-jundiai-p01,rf_v1.0-tuned,2020,2021,23913,112225,21.308086433504123,True
ctrl-ascenty-jundiai-p01,rf_v1.0-tuned,2021,2022,19294,112225,17.192247716640676,True
ctrl-ascenty-jundiai-p01,rf_v2.0-dw,2016,2017,18789,112225,16.742258854978836,True
ctrl-ascenty-jundiai-p01,rf_v2.0-dw,2017,2018,17897,112224,15.947569147419447,True
ctrl-ascenty-jundiai-p01,rf_v2.0-dw,2018,2019,24362,112224,21.70836897633305,True
ctrl-ascenty-jundiai-p01,rf_v2.0-dw,2019,2020,17260,112225,15.379817331254177,True
ctrl-ascenty-jundiai-p01,rf_v2.0-dw,2020,2021,23171,112225,20.646914680329694,True
ctrl-ascenty-jundiai-p01,rf_v2.0-dw,2021,2022,20483,112225,18.251726442414792,True
ctrl-ascenty-jundiai-p01,dynamic_world,2016,2017,73941,1002001,7.379333952760526,True
ctrl-ascenty-jundiai-p01,dynamic_world,2017,2018,75614,1002001,7.546299853992162,True
ctrl-ascenty-jundiai-p01,dynamic_world,2018,2019,76677,1002001,7.652387572467492,True
ctrl-ascenty-jundiai-p01,dynamic_world,2019,2020,62615,1002001,6.24899575948527,True
ctrl-ascenty-jundiai-p01,dynamic_world,2020,2021,67035,1002001,6.690113083719477,True
ctrl-ascenty-jundiai-p01,dynamic_world,2021,2022,74015,1002001,7.386719174930963,True
ctrl-ascenty-maracanau-p03,rf_v1.0-tuned,2013,2014,31029,111555,27.81497915826274,False
ctrl-ascenty-maracanau-p03,rf_v1.0-tuned,2014,2015,35810,111555,32.100757473891804,False
ctrl-ascenty-maracanau-p03,rf_v1.0-tuned,2015,2016,34170,111556,30.630356054358348,False
ctrl-ascenty-maracanau-p03,rf_v1.0-tuned,2016,2017,32115,111556,28.788231919394743,False
ctrl-ascenty-osasco-p01,rf_v1.0-tuned,2017,2018,9957,110645,8.99905101902481,True
ctrl-ascenty-osasco-p01,rf_v1.0-tuned,2018,2019,14326,111236,12.8789240893236,True
ctrl-ascenty-osasco-p01,rf_v1.0-tuned,2019,2020,13905,110788,12.550998303065313,True
ctrl-ascenty-osasco-p01,rf_v1.0-tuned,2020,2021,12486,110921,11.256660145508965,True
ctrl-ascenty-osasco-p01,rf_v1.0-tuned,2021,2022,12166,111467,10.914441045331802,True
ctrl-ascenty-osasco-p01,rf_v1.0-tuned,2022,2023,11289,110093,10.2540579328386,True
ctrl-ascenty-osasco-p01,rf_v2.0-dw,2017,2018,16001,110645,14.461566270504768,True
ctrl-ascenty-osasco-p01,rf_v2.0-dw,2018,2019,21323,111236,19.16915387104894,True
ctrl-ascenty-osasco-p01,rf_v2.0-dw,2019,2020,19661,110788,17.746506841896235,True
ctrl-ascenty-osasco-p01,rf_v2.0-dw,2020,2021,18545,110921,16.719106391035062,True
ctrl-ascenty-osasco-p01,rf_v2.0-dw,2021,2022,17180,111467,15.412633335426628,True
ctrl-ascenty-osasco-p01,rf_v2.0-dw,2022,2023,15988,110093,14.522267537445614,True
ctrl-ascenty-osasco-p01,dynamic_world,2017,2018,57459,1002001,5.734425414745095,True
ctrl-ascenty-osasco-p01,dynamic_world,2018,2019,62930,1002001,6.280432853859427,True
ctrl-ascenty-osasco-p01,dynamic_world,2019,2020,56440,1002001,5.632728909452186,True
ctrl-ascenty-osasco-p01,dynamic_world,2020,2021,49576,1002001,4.947699652994358,True
ctrl-ascenty-osasco-p01,dynamic_world,2021,2022,45472,1002001,4.538119223433909,True
ctrl-ascenty-osasco-p01,dynamic_world,2022,2023,43868,1002001,4.378039542874708,True
ctrl-ascenty-paulinia-p02,rf_v1.0-tuned,2016,2017,16665,111556,14.938685503245008,True
ctrl-ascenty-paulinia-p02,rf_v1.0-tuned,2017,2018,19162,111556,17.17702319911076,True
ctrl-ascenty-paulinia-p02,rf_v1.0-tuned,2018,2019,23035,111556,20.64882211624655,True
ctrl-ascenty-paulinia-p02,rf_v1.0-tuned,2019,2020,19365,111556,17.358994585678943,True
ctrl-ascenty-paulinia-p02,rf_v1.0-tuned,2020,2021,21621,111556,19.381297285668186,True
ctrl-ascenty-paulinia-p02,rf_v1.0-tuned,2021,2022,18986,111556,17.019254903366917,True
ctrl-ascenty-paulinia-p02,rf_v2.0-dw,2016,2017,27456,111556,24.611854136039298,True
ctrl-ascenty-paulinia-p02,rf_v2.0-dw,2017,2018,30672,111556,27.494711176449496,True
ctrl-ascenty-paulinia-p02,rf_v2.0-dw,2018,2019,32271,111556,28.928071999713147,True
ctrl-ascenty-paulinia-p02,rf_v2.0-dw,2019,2020,28268,111556,25.339739682312022,True
ctrl-ascenty-paulinia-p02,rf_v2.0-dw,2020,2021,27895,111556,25.005378464627633,True
ctrl-ascenty-paulinia-p02,rf_v2.0-dw,2021,2022,28090,111556,25.18017856502564,True
ctrl-ascenty-paulinia-p02,dynamic_world,2016,2017,103372,1002001,10.316556570302824,True
ctrl-ascenty-paulinia-p02,dynamic_world,2017,2018,106774,1002001,10.656077189543723,True
ctrl-ascenty-paulinia-p02,dynamic_world,2018,2019,113585,1002001,11.335817030122724,True
ctrl-ascenty-paulinia-p02,dynamic_world,2019,2020,105900,1002001,10.568851727692886,True
ctrl-ascenty-paulinia-p02,dynamic_world,2020,2021,96558,1002001,9.636517328825022,True
ctrl-ascenty-paulinia-p02,dynamic_world,2021,2022,111254,1002001,11.10318253175396,True
ctrl-ascenty-sumare-p01,rf_v1.0-tuned,2014,2015,19914,111556,17.851124099107174,False
ctrl-ascenty-sumare-p01,rf_v1.0-tuned,2015,2016,16565,111556,14.849044426117825,False
ctrl-ascenty-sumare-p01,rf_v1.0-tuned,2016,2017,15657,111556,14.035103445803005,False
ctrl-ascenty-sumare-p01,rf_v1.0-tuned,2017,2018,15703,111556,14.07633834128151,False
ctrl-ascenty-sumare-p01,rf_v1.0-tuned,2018,2019,18611,111556,16.683100864139984,False
ctrl-ascenty-sumare-p01,rf_v1.0-tuned,2019,2020,16659,111556,14.933307038617375,False
ctrl-ascenty-vinhedo-p02,rf_v1.0-tuned,2016,2017,16538,111556,14.824841335293485,True
ctrl-ascenty-vinhedo-p02,rf_v1.0-tuned,2017,2018,15230,111453,13.664952939804222,True
ctrl-ascenty-vinhedo-p02,rf_v1.0-tuned,2018,2019,15893,111393,14.26750334401623,True
ctrl-ascenty-vinhedo-p02,rf_v1.0-tuned,2019,2020,13644,111390,12.248855373013736,True
ctrl-ascenty-vinhedo-p02,rf_v1.0-tuned,2020,2021,20883,111392,18.747306808388394,True
