campus_id,lat,lon,n_predios,nome,operadora,start_date_osm,procedencia
us-0001,32.8327103,-97.0410284,1,Cyxtera Dallas-Fort Worth Data Center,Cyxtera,,osm_overpass
us-0002,32.8009535,-96.8195234,1,Equinix Infomart,Equinix,,osm_overpass
us-0003,42.3767059,-71.0797577,1,CoreSite BO1,,,osm_overpass
us-0004,34.0581039,-118.2353939,1,USPO Terminal Annex,United States Postal Service,1938,osm_overpass
us-0005,32.7810298,-96.79653605,2,DataBank,,,osm_overpass
us-0006,39.3038941,-84.3116127,1,CyrusOne Cincinnati-Mason CIN3,CyrusOne,,osm_overpass
us-0007,32.8278941,-117.1299275,1,LightEdge SAN1,,,osm_overpass
us-0008,32.8423554,-117.1694226,1,EdgeConneX San Diego,EdgeConneX,,osm_overpass
us-0009,38.647861925,-121.49154105,4,RagingWire CA2,NTT,,osm_overpass
us-0010,37.241878299999996,-121.78347202500001,4,Equinix SV1,Equinix,,osm_overpass
us-0011,39.2940482,-84.4121132,1,,,,osm_overpass
us-0012,34.0810196125,-84.256810675,8,Hewlett-Packard,Flexential,,osm_overpass
us-0013,44.6681065,-74.980582,1,Old Main,Clarkson University,,osm_overpass
us-0014,38.6295109,-90.19679785,2,Netrality Data Centers,,,osm_overpass
us-0015,44.99010425,-93.278475,2,Lumen Minneapolis 3,Verizon,,osm_overpass
us-0016,38.80340635,-77.51056395,2,Equinix DC14,Equinix,,osm_overpass
us-0017,39.1026943,-84.5178996,1,CyrusOne CIN2,CyrusOne,,osm_overpass
us-0018,44.8516116,-93.5988964,1,Flexential Minneapolis - Chaska,Flexential,,osm_overpass
us-0019,39.745401150000006,-104.98751155,2,Pearl Plaza Office Building,,,osm_overpass
us-0020,37.37630155740741,-121.96411151851852,54,Lumen Sunnyvale 1,Lumen Technologies,,osm_overpass
us-0021,44.9712882,-93.2546974,1,Minnesota Gateway Data Center,,,osm_overpass
us-0022,38.9813135,-84.6187219,1,,CyrusOne,,osm_overpass
us-0023,42.32623275,-83.07337275,2,,Verizon Wireless,,osm_overpass
us-0024,43.1436204,-70.9524471,1,,University of New Hampshire,,osm_overpass
us-0025,38.948653,-77.32836075,2,VA3,Digital Realty,,osm_overpass
us-0026,38.952992025,-77.36959905,4,CoreSite Reston Campus VA1,CoreSite,,osm_overpass
us-0027,43.0761287,-70.8080395,1,,FirstLight,,osm_overpass
us-0028,39.0586081,-76.964467,1,Lincoln Rackhouse Maryland,Lincoln Rackhouse,,osm_overpass
us-0029,39.38803605,-84.22160249999999,2,,CyrusOne,,osm_overpass
us-0030,40.7968626,-74.0311403,1,Equinix NY7 Data Center,Equinix,,osm_overpass
us-0031,37.407068699999996,-122.01455734999999,2,Equinix SV4,Equinix,,osm_overpass
us-0032,44.8072109,-93.375385,1,Verizon - Bloomington Network,Verizon,,osm_overpass
us-0033,29.4293706,-98.4869057,1,H5 Data Centers San Antonio,H5 Data Centers,,osm_overpass
us-0034,41.5879926,-93.6310139,1,Aureon,,,osm_overpass
us-0035,35.58851816666667,-81.26247623333333,3,,,,osm_overpass
us-0036,39.0944683,-94.5794418,1,,"Patmos Hosting, Inc.",,osm_overpass
us-0037,41.2407307,-73.1472668,1,Digital Realty New York HVN10,Digital Realty,,osm_overpass
us-0038,41.7721034,-88.2170821,1,Lincoln Rackhouse,,,osm_overpass
us-0039,44.972195,-93.1474731,1,H5 Minneapolis,H5,,osm_overpass
us-0040,33.421036400000006,-112.0378144,2,Iron Mountain Records Storage,Iron Mountain,,osm_overpass
us-0041,37.4458951,-122.160786,1,Equinix SV8,Equinix,,osm_overpass
us-0042,40.0952591,-88.2420314,1,NCSA Petascale Computing Facility,,,osm_overpass
us-0043,39.912797,-83.7236638,1,LexisNexus Springfield,,,osm_overpass
us-0044,33.4938298,-112.07067090000001,2,Lumen,Lumen Technologies,,osm_overpass
us-0045,33.30580835,-111.67170605000001,2,L3Harris Technologies Inc,,,osm_overpass
us-0046,33.6590546,-112.1111595,1,Aligned Energy Data Center,,2017,osm_overpass
us-0047,38.91422692,-77.21826777999999,5,Lumen McLean,Lumen Technologies,,osm_overpass
us-0048,41.8536916,-87.6182716,1,Lakeside Technology Center,,,osm_overpass
us-0049,33.6846775,-112.0983398,1,Flexential Phoenix - Deer Valley,Flexential,,osm_overpass
us-0050,36.1585898,-95.9886293,1,TierPoint,,,osm_overpass
us-0051,41.3179864,-96.0503485,1,"Union Pacific Jack Koraleski Technology, Research & Development Center",Union Pacific Railroad,,osm_overpass
us-0052,40.4513704,-80.1901663,1,DataBank Pittsburgh PIT2,,,osm_overpass
us-0053,34.9954515,-106.6180334,1,Molina Healthcare,Molina Healthcare,,osm_overpass
us-0054,36.0593025,-115.21617425,10,Switch12,Switch,,osm_overpass
us-0055,39.3777781,-77.4115448,1,,,,osm_overpass
us-0056,35.89550135,-81.5471095,2,,,,osm_overpass
us-0057,41.216796450000004,-95.87085834999999,2,,CyrusOne,,osm_overpass
us-0058,37.7888613,-122.39030285,2,360 Spear Street Data Center,Digital Realty,,osm_overpass
us-0059,40.78150614545455,-74.06885602727272,11,Equinix New York Secaucus NY5,Equinix,,osm_overpass
us-0060,39.29484306,-94.67945396,5,Black Rock Financial Management,,,osm_overpass
us-0061,36.2625496,-95.9100413,1,Cherokee Data Center,,,osm_overpass
us-0062,41.79972586,-88.24445878,5,CyrusOne CHI3,CyrusOne,,osm_overpass
us-0063,39.5929894,-104.85415471666666,6,Xfinity/Comcast Data Center,Verizon,,osm_overpass
us-0064,39.1744228,-86.5006878,1,IU Data Center,Indiana University,,osm_overpass
us-0065,40.5208169,-74.3472226,1,IO Datacenter,,,osm_overpass
us-0066,40.55120376,-74.45818792,5,DataBank Piscataway EWR2,Barclays,,osm_overpass
us-0067,40.54823415,-74.491943775,4,Optimum,Equinix,,osm_overpass
us-0068,47.4935175375,-122.2911466125,8,Intergate Seattle East Building 2,Sabey Data Centers,,osm_overpass
us-0069,41.8421621,-87.6689315,1,QTS Chicago,Quality Technology Services,,osm_overpass
us-0070,41.8641874,-87.63921015,4,Digital Realty ORD11,Digital Realty,,osm_overpass
us-0071,42.6857078,-71.2086024,1,,TierPoint,,osm_overpass
us-0072,42.6302832,-71.3045615,1,Markley Data Center,Markley Group,,osm_overpass
us-0073,35.1354147,-80.9368313,1,Flexential Charlotte - South,Flexential,,osm_overpass
us-0074,33.3949912,-111.96130245,2,EdgeConneX,EdgeConneX,,osm_overpass
us-0075,33.3446197,-111.8992189,1,Digital Realty Data Center,Digital Realty,,osm_overpass
us-0076,47.6933236,-122.3173172,1,,Comcast,,osm_overpass
us-0077,38.815632416666666,-77.65218508333334,6,Amazon IAD-55,Amazon Web Services,,osm_overpass
us-0078,47.6172853,-122.34477416666668,6,CTI Biopharma,Digital Realty,1984,osm_overpass
us-0079,37.418381,-121.9431173,1,Dell 350 Holger Way,,,osm_overpass
us-0080,38.7474201,-77.6744649,1,OVH US East Vint Hill,,,osm_overpass
us-0081,41.125017638461536,-104.90204656923076,13,NCAR-Wyoming Supercomputing Center,University Corporation for Atmospheric Research,,osm_overpass
us-0082,45.6296184,-121.2045892,4,Google Data Center The Dalles Oregon,Google,,osm_overpass
us-0083,35.7249921,-78.6623632,1,Segra Data Center,,,osm_overpass
