campus_id,lat,lon,n_predios,nome,operadora
us-0001,32.832756365,-97.040946085,1,Cyxtera Dallas-Fort Worth Data Center,Cyxtera
us-0002,32.800845284615384,-96.81951845769231,1,Equinix Infomart,Equinix
us-0003,42.376583600000004,-71.07986428,1,CoreSite BO1,
us-0004,34.058040375675674,-118.23557544662162,1,USPO Terminal Annex,United States Postal Service
us-0005,32.78097235081081,-96.79637707765765,2,Live Oak Data Center,
us-0006,39.30390701282052,-84.31162447179487,1,CyrusOne Cincinnati-Mason CIN3,CyrusOne
us-0007,32.82800371111111,-117.12996633333334,1,LightEdge SAN1,
us-0008,32.8423202,-117.16931507,1,EdgeConneX San Diego,EdgeConneX
us-0009,38.647874771944444,-121.49166701833333,4,QTS Sacramento,Quality Technology Services
us-0010,37.24181967928241,-121.78344028630953,4,Equinix SV11,Equinix
us-0011,39.29400868333333,-84.41219388333333,1,,
us-0012,34.08104410901285,-84.25689226581275,8,T5 Data Center,Ascent
us-0013,44.66809826470588,-74.9806132117647,1,Old Main,Clarkson University
us-0014,38.62948859285714,-90.19685971857143,2,TierPoint,
us-0015,44.99011453909091,-93.27837627363637,2,Lumen Minneapolis 3,Lumen Technologies
us-0016,38.803402988636364,-77.51045224805196,2,Equinix DC14,Equinix
us-0017,39.10281136153846,-84.51781673076924,1,CyrusOne CIN2,CyrusOne
us-0018,44.85153317142857,-93.59907847142857,1,Flexential Minneapolis - Chaska,Flexential
us-0019,39.74541640833333,-104.98753651999999,2,Insurance Exchange Building,
us-0020,37.37632714111441,-121.96411507536179,54,STACK SVY02,Stack Infrastructure
us-0021,44.97141696923077,-93.25483566923077,1,Minnesota Gateway Data Center,
us-0022,38.981199357142856,-84.61875264857143,1,,CyrusOne
us-0023,42.326284360989014,-83.0733391620879,2,,Quicken Loans
us-0024,43.14363342307692,-70.95261243076924,1,,University of New Hampshire
us-0025,38.94865281279762,-77.32845142767857,2,IAD1,Evocative
us-0026,38.95287872331169,-77.36958967010823,4,CoreSite Reston Campus VA2,CoreSite
us-0027,43.07607225384615,-70.80810243846153,1,,FirstLight
us-0028,39.058346830434786,-76.96436517826086,1,Lincoln Rackhouse Maryland,Lincoln Rackhouse
