pareado_com,site_id,tipo,zona,raio_int_km,raio_ext_km,area_zona_ha,metodo_footprint,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,n_pixels_footprint,pct_ja_construida,pct_virou_construida_fp,pct_construida_no_fim,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
angonap-fortaleza,angonap-fortaleza,tratamento,footprint,0.0,0.0,0.9046,osm_data_center_explicito,18,4,3,4,18.0,22.22,22.22,66.67,22.22222222222222,16.666666666666668,22.22222222222222
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,0.0,0.5,78.54,,882,28,13,7,,,,,3.1746031746031744,1.473922902494331,0.7936507936507936
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,0.5,1.0,235.62,,2652,40,23,12,,,,,1.5082956259426847,0.8672699849170438,0.45248868778280543
angonap-fortaleza,angonap-fortaleza,tratamento,1-2km,1.0,2.0,942.48,,10492,189,121,48,,,,,1.8013724742661075,1.1532596263820054,0.4574914220358368
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,0.0,0.5,78.54,,886,11,2,9,,,,,1.2415349887133182,0.22573363431151242,1.0158013544018059
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,0.5,1.0,235.62,,2623,20,1,11,,,,,0.7624857033930614,0.03812428516965307,0.41936713686618377
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,1.0,2.0,942.48,,10512,74,20,29,,,,,0.7039573820395738,0.1902587519025875,0.2758751902587519
ascenty-hortolandia,ascenty-hortolandia,tratamento,footprint,0.0,0.0,13.1197,osm_landuse_industrial,179,29,0,29,179.0,31.84,16.2,65.92,16.201117318435752,0.0,16.201117318435752
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,0.0,0.5,78.54,,872,45,0,45,,,,,5.160550458715596,0.0,5.160550458715596
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,0.5,1.0,235.62,,2618,49,2,47,,,,,1.8716577540106951,0.07639419404125286,1.7952635599694424
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,1.0,2.0,942.48,,10479,417,128,393,,,,,3.979387346120813,1.2214906002481152,3.7503578585742914
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,0.0,0.5,78.54,,874,18,0,18,,,,,2.059496567505721,0.0,2.059496567505721
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,0.5,1.0,235.62,,2605,102,13,101,,,,,3.9155470249520152,0.4990403071017274,3.8771593090211134
