pareado_com,zona,excesso_pp,pct_ja_construida,area_footprint_ha,metodo_footprint,tipo_sitio
clickip-manaus,0-0.5km,5.3389,0.0,0.1459,osm_data_center_explicito,greenfield
equinix-santana-parnaiba,0-0.5km,1.1476,0.0,9.8868,osm_data_center_explicito,greenfield
angonap-fortaleza,0-0.5km,1.9331,22.22,0.9046,osm_data_center_explicito,greenfield
scala-spoapa01,0-0.5km,0.2876,31.58,0.1073,osm_landuse_industrial,greenfield
ascenty-hortolandia,0-0.5km,3.1011,31.84,13.1197,osm_landuse_industrial,greenfield
ascenty-vinhedo,0-0.5km,2.8649,35.48,1.634,osm_landuse_industrial,greenfield
ascenty-paulinia,0-0.5km,6.3634,50.0,1.5176,osm_landuse_industrial,brownfield
hostdime-joao-pessoa,0-0.5km,0.7746,50.0,0.1909,osm_edificacao_mais_proxima,brownfield
scala-sgigsm01,0-0.5km,3.5171,71.26,3.6565,osm_data_center_explicito,brownfield
ascenty-jundiai,0-0.5km,-5.374,85.71,1.0603,osm_landuse_industrial,brownfield
ascenty-osasco,0-0.5km,0.3311,87.5,0.8102,osm_data_center_explicito,brownfield
ascenty-sumare,0-0.5km,-3.0849,87.64,5.8209,osm_landuse_industrial,brownfield
scala-tambore,0-0.5km,2.1847,89.74,1.938,osm_data_center_explicito,brownfield
clickip-manaus,0.5-1km,3.4313,0.0,0.1459,osm_data_center_explicito,greenfield
equinix-santana-parnaiba,0.5-1km,1.6094,0.0,9.8868,osm_data_center_explicito,greenfield
angonap-fortaleza,0.5-1km,0.7458,22.22,0.9046,osm_data_center_explicito,greenfield
scala-spoapa01,0.5-1km,0.6445,31.58,0.1073,osm_landuse_industrial,greenfield
ascenty-hortolandia,0.5-1km,-2.0439,31.84,13.1197,osm_landuse_industrial,greenfield
ascenty-vinhedo,0.5-1km,0.2952,35.48,1.634,osm_landuse_industrial,greenfield
ascenty-paulinia,0.5-1km,7.5576,50.0,1.5176,osm_landuse_industrial,brownfield
hostdime-joao-pessoa,0.5-1km,0.0288,50.0,0.1909,osm_edificacao_mais_proxima,brownfield
scala-sgigsm01,0.5-1km,3.2571,71.26,3.6565,osm_data_center_explicito,brownfield
ascenty-jundiai,0.5-1km,2.6457,85.71,1.0603,osm_landuse_industrial,brownfield
ascenty-osasco,0.5-1km,0.3897,87.5,0.8102,osm_data_center_explicito,brownfield
ascenty-sumare,0.5-1km,-2.7591,87.64,5.8209,osm_landuse_industrial,brownfield
scala-tambore,0.5-1km,1.5639,89.74,1.938,osm_data_center_explicito,brownfield
clickip-manaus,1-2km,3.0908,0.0,0.1459,osm_data_center_explicito,greenfield
equinix-santana-parnaiba,1-2km,-2.0668,0.0,9.8868,osm_data_center_explicito,greenfield
angonap-fortaleza,1-2km,1.0974,22.22,0.9046,osm_data_center_explicito,greenfield
scala-spoapa01,1-2km,-0.6346,31.58,0.1073,osm_landuse_industrial,greenfield
ascenty-hortolandia,1-2km,2.061,31.84,13.1197,osm_landuse_industrial,greenfield
ascenty-vinhedo,1-2km,-0.3795,35.48,1.634,osm_landuse_industrial,greenfield
ascenty-paulinia,1-2km,1.9051,50.0,1.5176,osm_landuse_industrial,brownfield
hostdime-joao-pessoa,1-2km,-0.1901,50.0,0.1909,osm_edificacao_mais_proxima,brownfield
scala-sgigsm01,1-2km,1.6834,71.26,3.6565,osm_data_center_explicito,brownfield
ascenty-jundiai,1-2km,-1.1856,85.71,1.0603,osm_landuse_industrial,brownfield
ascenty-osasco,1-2km,0.6681,87.5,0.8102,osm_data_center_explicito,brownfield
ascenty-sumare,1-2km,-2.0644,87.64,5.8209,osm_landuse_industrial,brownfield
scala-tambore,1-2km,0.7286,89.74,1.938,osm_data_center_explicito,brownfield
