campus,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2014,-3,True,864,75.1157
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2015,-2,True,864,80.787
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2016,-1,True,864,78.125
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2017,0,True,864,73.9583
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2018,1,True,864,78.8194
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2019,2,True,864,74.3056
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2020,3,True,864,69.3287
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2021,4,True,864,75.463
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2022,5,True,864,70.7176
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2023,6,True,864,71.1806
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2014,-3,True,2652,71.644
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2015,-2,True,2652,74.1327
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2016,-1,True,2652,73.2278
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2017,0,True,2652,72.7753
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2018,1,True,2652,73.5294
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2019,2,True,2652,72.2474
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2020,3,True,2652,71.1161
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2021,4,True,2652,71.9457
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2022,5,True,2652,71.3047
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2023,6,True,2652,72.2097
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2014,-3,False,886,52.0316
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2015,-2,False,886,48.6456
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2016,-1,False,886,53.8375
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2017,0,False,886,51.9187
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2018,1,False,886,52.0316
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2019,2,False,886,49.8871
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2020,3,False,886,49.6614
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2021,4,False,886,52.2573
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2022,5,False,886,53.386
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2023,6,False,886,52.7088
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2014,-3,False,2636,27.9211
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2015,-2,False,2629,26.2077
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2016,-1,False,2642,27.7441
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2017,0,False,2642,28.3119
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2018,1,False,2642,27.7063
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2019,2,False,2642,25.3974
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2020,3,False,2642,27.9334
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2021,4,False,2642,28.539
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2022,5,False,2642,29.5988
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2023,6,False,2642,27.7063
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2015,-3,True,693,63.4921
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2016,-2,True,693,66.3781
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2017,-1,True,693,65.6566
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2018,0,True,693,70.7071
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2019,1,True,693,70.1299
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2020,2,True,693,62.9149
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2021,3,True,693,66.811
