campus_id,pais,lat,lon,n_predios,nome,operadora,municipio,uf,ano_operacional,fonte,origem_data,no_estudo_atual,tem_data
br-0001,BR,-23.57126425,-46.61943725,2,Data Center Marechal Rondon,Brazilian Army,Sao Paulo,,2015.0,datacentermap,declarada_datacentermap,False,True
br-0002,BR,-22.70650052424456,-43.23743247257072,1,ADA Rio de Janeiro,Ada Infrastructure,Duque de Caxias,,,datacentermap,,False,False
br-0003,BR,-30.016501955502555,-51.20388801034021,10,Adentro DC Porto Alegre,ADENTRO DATA CENTER SOLUTIONS LTDA,Porto Alegre,Rio Grande do Sul,2023.0,datacentermap,declarada_datacentermap,True,True
br-0004,BR,-18.9209149,-48.3090492,1,Algar Tech Uberlandia - Jaraguá,Algar Tech,Uberlandia,MG,,datacentermap,,False,False
br-0005,BR,-18.8725131,-48.2451629,1,Algar Tech Uberlandia - Granja Marileusa,Algar Tech,Uberlandia,Minas Gerais,,datacentermap,,False,False
br-0006,BR,-22.799210861157988,-43.35303072747805,11,ODATA RJ01,"ODATA, an Aligned Data Centers Company",São João de Meriti,,2017.0,datacentermap+osm,declarada_datacentermap,True,True
br-0007,BR,-23.454099410584774,-46.91251924279884,4,ODATA SP01,"ODATA, an Aligned Data Centers Company","Votuparim, Santana de Parnaíba",,2017.0,datacentermap+osm,declarada_datacentermap,False,True
br-0008,BR,-22.897653328539317,-47.18764527108291,13,ODATA SP02 Campus,"ODATA, an Aligned Data Centers Company","Chácaras Assay, Hortolândia",,2015.0,datacentermap+osm,declarada_datacentermap,True,True
br-0009,BR,-23.49739806407384,-46.81541396120501,20,ODATA SP03,"ODATA, an Aligned Data Centers Company","Tamboré, Barueri",,2000.0,datacentermap+osm,declarada_datacentermap,True,True
br-0010,BR,-3.7434239996938508,-38.4582846484485,10,AngoNAP Fortaleza,Angola Cables,Fortaleza,,2025.0,datacentermap+osm,declarada_datacentermap,True,True
br-0011,BR,-27.1076999,-48.9186753,1,Armazem DC Brusque,Armazém Cloud,Brusque,,,datacentermap,,False,False
br-0012,BR,-26.2392368,-48.88348435,2,Armazem DC Joinville,Armazém Cloud,Joinville,,,datacentermap+osm,,False,False
br-0013,BR,-23.6756459307653,-46.70346926575303,2,ASAP SP1,ASAP Telecom,São Paulo,SP,2022.0,datacentermap,declarada_datacentermap,False,True
br-0014,BR,-22.848037,-47.153369,1,Ascenty - Campinas CPS1,Ascenty Data Centers,Campinas,,,datacentermap,,False,False
br-0015,BR,-23.1922104,-46.973600149999996,2,Ascenty - Jundiai JDI1,Ascenty Data Centers,Jundiaí,Jundiaí,2014.0,datacentermap,declarada_datacentermap,True,True
br-0016,BR,-23.489837789734967,-46.775190740131784,16,Ascenty Sao Paulo Capital Campus,Ascenty Data Centers,Osasco,,2017.0,datacentermap+osm,declarada_datacentermap,True,True
br-0017,BR,-22.814140059036248,-47.21234334271967,6,Ascenty - Sumare SUM3,Ascenty Data Centers,Sumaré,,2017.0,datacentermap,declarada_datacentermap,True,True
br-0018,BR,-23.07021418257807,-47.012388798153346,3,Ascenty - Vinhedo VIN2,Ascenty Data Centers,Vinhedo,,,datacentermap,,True,False
br-0019,BR,-19.942833,-44.011552,1,Sonda Ativas,Sonda S.A.,Belo Horizonte,MG,2011.0,datacentermap,declarada_datacentermap,False,True
br-0020,BR,-26.26412048317817,-48.85177190343191,1,Avato Joinville,Ávato,Joinville,,2012.0,datacentermap,declarada_datacentermap,False,True
br-0021,BR,-23.464507775455093,-46.85978844276293,9,B3 Data Center,"B3 S.A. – Brasil, Bolsa, Balcão",Santana de Parnaiba,,2006.0,datacentermap+osm,declarada_datacentermap,True,True
br-0022,BR,-27.00188405,-51.167537749999994,2,BRDrive Data Center,BRDrive,Videira,,2015.0,datacentermap,declarada_datacentermap,False,True
br-0023,BR,-3.653321,-38.8251428,1,Pecém Data Center,Casa dos Ventos,São Gonçalo do Amarante,,2027.0,datacentermap,declarada_datacentermap,False,True
br-0024,BR,-20.810385699999998,-49.38575485,2,CDZNet Data Center,cdznet data center,Sao Jose do Rio Preto,SP,,datacentermap,,False,False
br-0025,BR,-19.9305832,-44.0614069,1,Century CEM-DC01,Century Telecom LTDA,Contagem,Minas Gerais,,datacentermap,,False,False
br-0026,BR,-25.47028165,-49.350796599999995,2,Cirion CUR1,Cirion,Curitiba,Paraná,2025.0,datacentermap,declarada_datacentermap,False,True
br-0027,BR,-22.90726045218103,-43.20859016648712,6,Cirion RIO2,Cirion,Rio de Janeiro,,2001.0,datacentermap,declarada_datacentermap,False,True
br-0028,BR,-23.54195739494818,-46.70931247916715,1,Claro Data Center LAPA,Claro,São Paulo,,2012.0,datacentermap,declarada_datacentermap,False,True
br-0029,BR,-3.0555021,-59.990213350000005,2,ClickIP Datacenters,ClickIP Datacenters,Manaus,AMAZONAS,,datacentermap+osm,,True,False
br-0030,BR,-22.77117479857385,-47.10460292143075,8,CloudHQ GRU Campus,CloudHQ,Paulínia,,,datacentermap+osm,,False,False
br-0031,BR,-23.60026564209321,-46.6882332139399,6,ADA Sao Paulo,Ada Infrastructure,Sao Paulo,,1990.0,datacentermap,declarada_datacentermap,False,True
br-0032,BR,-24.94369305,-53.44573055,2,Constel Cascavel Centro,Constel Tecnologia,Cascavel,Parana,,datacentermap,,False,False
br-0033,BR,-28.9420155,-49.4979287,1,Contato Data Center,Contato Data Center,Araranguá,Santa Catarina,,datacentermap,,False,False
br-0034,BR,-21.1852257,-47.8081915,1,Convex IDC Ribeirão Preto,Convex Internet Solutions,Ribeirao Preto,SP,,datacentermap,,False,False
br-0035,BR,-15.85834223206172,-47.89905002324178,1,COPE-P Brasilia,Telebras,Brasília,,,datacentermap,,False,False
br-0036,BR,-22.82647149440208,-43.17830367112702,1,COPE-S Rio de Janeiro,Telebras,Rio de Janeiro,,,datacentermap,,False,False
br-0037,BR,-25.449630417898035,-49.25978588386846,2,CWB-HN 01,Hosting Now,Curitiba,Paraná,2011.0,datacentermap,declarada_datacentermap,False,True
br-0038,BR,-23.64790284580196,-46.724367954992566,5,Locaweb Data Center Itapaiuna,Locaweb S/A,Sao Paulo,São Paulo,2001.0,datacentermap,declarada_datacentermap,False,True
br-0039,BR,-29.6957946,-53.7978236,1,Avato Santa Maria,Ávato,Santa Maria,RS,,datacentermap,,False,False
br-0040,BR,-3.7344285,-38.5049194,1,Ultranet Telecom DC Fortaleza,Ultranet Telecom,Fortaleza,Aldelota,,datacentermap,,False,False
br-0041,BR,-22.817232040312035,-47.03429181545609,3,Edge Connection - CPS01,Edge Connection,Campinas,Sao Paulo,2027.0,datacentermap,declarada_datacentermap,False,True
br-0042,BR,-1.41264568658525,-48.48808399344105,1,Elea BEL1,Elea Data Centers,Belém,,2027.0,datacentermap,declarada_datacentermap,False,True
br-0043,BR,-15.790905491638929,-47.900020274939244,8,Elea BSB1,Elea Data Centers,Brasilia,DF,,datacentermap+osm,,False,False
br-0044,BR,-25.4247684,-49.2811411,1,Elea CTA1,Elea Data Centers,Curitiba,Paraná,,datacentermap,,False,False
br-0045,BR,-22.96606674654497,-43.379707629368966,6,Elea RJO1,Elea Data Centers,Rio de Janeiro,Rio de Janeiro,2016.0,datacentermap+osm,declarada_datacentermap,False,True
br-0046,BR,-23.6774468,-46.5725548,1,Elea SPO2,Elea Data Centers,São Bernardo do Campo,,,datacentermap,,False,False
br-0047,BR,-23.5013594,-46.8473233,1,Elea SPO3,Elea Data Centers,Barueri,,2001.0,datacentermap,declarada_datacentermap,False,True
br-0048,BR,-2.956195978406484,-41.76979620360595,1,Enegix Piauí,Enegix,Parnaíba,,,datacentermap,,False,False
