site_id,tipo,pareado_com,municipio,uf,ano,lst_media_celsius,lst_mediana_celsius,lst_desvio_celsius,lst_n_cenas,fonte,colecao_gee,data_extracao
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2014,30.8664,31.4947,2.8016,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2015,30.4603,30.3944,1.9161,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2016,31.0379,31.1408,2.168,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2017,30.1446,30.2536,2.7735,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2018,30.7043,31.1135,2.1633,40,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2019,30.5874,30.8267,2.0177,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2020,30.1777,30.5856,2.5128,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2014,31.5483,31.8689,2.1584,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2015,31.2092,30.9535,1.9997,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2016,31.8431,32.2371,2.4852,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2017,31.2976,31.3256,1.9232,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2018,31.5818,31.7976,2.0651,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2019,31.8484,31.9835,1.61,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2020,31.1894,31.2461,1.9386,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,2015,29.9083,30.4509,4.2917,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,2016,30.0845,31.3169,4.415,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,2017,29.6509,30.6616,4.4472,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,2018,29.9334,30.3211,3.6511,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,2019,30.2691,30.3181,4.6433,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,2020,30.7501,30.7938,4.2015,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,2021,30.5628,31.9336,4.6096,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,2022,29.1673,29.3982,4.1804,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,2015,30.8253,31.2946,4.3134,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,2016,31.2258,32.9352,4.6493,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,2017,30.9936,31.8803,4.2814,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,2018,31.3497,31.3109,3.6808,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,2019,31.6212,32.2297,5.0381,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,2020,32.0994,32.7899,4.2156,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,2021,32.0817,33.2021,4.5881,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,2022,30.4105,31.0664,3.7984,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,2016,26.5402,27.822,3.875,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,2017,26.3213,26.8426,3.9698,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,2018,26.1075,26.4614,3.3035,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,2019,26.7993,26.8255,4.1224,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,2020,26.815,27.1534,3.6511,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,2021,26.4329,27.7132,4.1235,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,2022,25.1671,25.7276,3.5152,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2016,27.3208,28.5839,3.8675,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2017,27.4339,28.39,3.8846,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2018,27.1242,27.0817,3.202,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2019,27.411,26.7587,4.1169,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2020,28.4548,28.5597,3.7995,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2021,27.4275,28.7828,3.8532,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2022,26.275,26.5307,3.2117,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2013,32.1975,32.4975,2.957,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2014,31.9927,32.5397,3.1141,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2015,30.7778,30.4995,2.9156,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2016,31.089,31.1018,3.1679,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2017,30.7155,30.137,2.8631,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2013,33.9145,34.2224,2.9623,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2014,33.6985,33.9493,2.9283,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2015,32.8113,32.3693,3.2405,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2016,33.8657,34.3801,2.9729,38,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2017,32.4851,32.5979,3.6212,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2017,27.546,28.3787,4.375,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2018,27.6992,27.7362,4.003,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2019,28.0512,28.9493,4.8519,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2020,28.0501,28.5287,4.4103,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2021,27.4981,28.776,4.7525,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2022,26.9143,27.0285,4.0489,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
