par,papel,zona,pct
angonap-fortaleza,A,0-0.5km,1.2415349887133182
angonap-fortaleza,A,0.5-1km,0.7624857033930614
angonap-fortaleza,A,1-2km,0.7039573820395738
angonap-fortaleza,A,2-3km,0.2772002772002772
angonap-fortaleza,A,3-5km,0.5167724388032638
angonap-fortaleza,B,0-0.5km,1.8058690744920993
angonap-fortaleza,B,0.5-1km,0.9923664122137404
angonap-fortaleza,B,1-2km,1.157230298393267
angonap-fortaleza,B,2-3km,0.6963227254416757
angonap-fortaleza,B,3-5km,0.5702286345287015
ascenty-hortolandia,A,0-0.5km,1.6018306636155606
ascenty-hortolandia,A,0.5-1km,2.6871401151631478
ascenty-hortolandia,A,1-2km,0.7363627555469431
ascenty-hortolandia,A,2-3km,1.7550926458740936
ascenty-hortolandia,A,3-5km,1.5881257609396262
ascenty-hortolandia,B,0-0.5km,3.7757437070938216
ascenty-hortolandia,B,0.5-1km,3.9358043561329765
ascenty-hortolandia,B,1-2km,4.6200840015273
ascenty-hortolandia,B,2-3km,2.644987691074598
ascenty-hortolandia,B,3-5km,2.7382060276326152
ascenty-jundiai,A,0-0.5km,7.6571428571428575
ascenty-jundiai,A,0.5-1km,2.2831050228310503
ascenty-jundiai,A,1-2km,2.4861350162554983
ascenty-jundiai,A,2-3km,2.3778147023434366
ascenty-jundiai,A,3-5km,1.2284440305857494
ascenty-jundiai,B,0-0.5km,0.1148105625717566
ascenty-jundiai,B,0.5-1km,0.6481128478841022
ascenty-jundiai,B,1-2km,1.2800917080626673
ascenty-jundiai,B,2-3km,1.5010885756846568
ascenty-jundiai,B,3-5km,1.7766315638656065
ascenty-maracanau,A,0-0.5km,0.11312217194570136
ascenty-maracanau,A,0.5-1km,0.0
ascenty-maracanau,A,1-2km,3.447950122803703
ascenty-maracanau,A,2-3km,7.046485260770975
ascenty-maracanau,A,3-5km,2.8892000638105535
ascenty-maracanau,B,0-0.5km,0.45146726862302483
ascenty-maracanau,B,0.5-1km,0.6800151114469211
ascenty-maracanau,B,1-2km,1.6024130455273824
ascenty-maracanau,B,2-3km,1.7382934148689202
ascenty-maracanau,B,3-5km,2.809128336172629
ascenty-osasco,A,0-0.5km,1.0610079575596818
ascenty-osasco,A,0.5-1km,1.1381475667189953
ascenty-osasco,A,1-2km,1.0163197498289847
ascenty-osasco,A,2-3km,2.111506524317912
ascenty-osasco,A,3-5km,1.9364321146426604
ascenty-osasco,B,0-0.5km,1.9473081328751431
ascenty-osasco,B,0.5-1km,2.942300343905235
ascenty-osasco,B,1-2km,2.320252076768834
ascenty-osasco,B,2-3km,2.7087775920696213
ascenty-osasco,B,3-5km,0.9903129388886889
ascenty-paulinia,A,0-0.5km,3.214695752009185
ascenty-paulinia,A,0.5-1km,1.48458317472402
ascenty-paulinia,A,1-2km,1.3468335084535294
ascenty-paulinia,A,2-3km,2.215733424939883
ascenty-paulinia,A,3-5km,3.7133142448103076
ascenty-paulinia,B,0-0.5km,2.293577981651376
ascenty-paulinia,B,0.5-1km,2.140672782874618
ascenty-paulinia,B,1-2km,4.416674616045025
ascenty-paulinia,B,2-3km,2.1979279949630817
ascenty-paulinia,B,3-5km,3.069570975998282
ascenty-sumare,A,0-0.5km,4.3478260869565215
ascenty-sumare,A,0.5-1km,3.2171581769436997
ascenty-sumare,A,1-2km,3.8399237732253453
ascenty-sumare,A,2-3km,1.0250830374527546
ascenty-sumare,A,3-5km,2.00794588210029
ascenty-sumare,B,0-0.5km,0.0
ascenty-sumare,B,0.5-1km,0.07656967840735068
ascenty-sumare,B,1-2km,0.057197330791229746
ascenty-sumare,B,2-3km,0.8187335394480706
ascenty-sumare,B,3-5km,1.9517528138217792
ascenty-vinhedo,A,0-0.5km,1.7162471395881007
ascenty-vinhedo,A,0.5-1km,2.2562141491395793
ascenty-vinhedo,A,1-2km,1.0874749594581703
ascenty-vinhedo,A,2-3km,1.6899633363886344
ascenty-vinhedo,A,3-5km,1.4704826199367997
