campus,n_ponta,conf_min,pct_tratamento,px_tratamento,pct_controle,px_controle,excesso_pp
angonap-fortaleza,1,0,6.184012066365008,2652,3.35493709492947,2623,2.8290749714355377
angonap-fortaleza,1,70,1.2292118582791034,1383,0.2597402597402597,1925,0.9694715985388437
angonap-fortaleza,1,85,0.29850746268656714,670,0.0,1541,0.29850746268656714
angonap-fortaleza,1,95,0.0,297,0.0,1228,0.0
angonap-fortaleza,2,0,1.5082956259426847,2652,0.7624857033930614,2623,0.7458099225496233
angonap-fortaleza,2,70,0.1757469244288225,1138,0.0,1725,0.1757469244288225
angonap-fortaleza,2,85,0.0,489,0.0,1365,0.0
angonap-fortaleza,2,95,0.0,203,0.0,1078,0.0
angonap-fortaleza,3,0,0.26395173453996984,2652,0.15249714067861228,2623,0.11145459386135756
angonap-fortaleza,3,70,0.0,1029,0.0,1622,0.0
angonap-fortaleza,3,85,0.0,447,0.0,1178,0.0
angonap-fortaleza,3,95,0.0,188,0.0,811,0.0
ascenty-hortolandia,1,0,5.46218487394958,2618,18.54126679462572,2605,-13.07908192067614
ascenty-hortolandia,1,70,0.842835894893406,2017,8.928571428571429,1120,-8.085735533678022
ascenty-hortolandia,1,85,0.14174344436569808,1411,1.3297872340425532,376,-1.188043789676855
ascenty-hortolandia,1,95,0.0,569,0.0,27,0.0
ascenty-hortolandia,2,0,1.757066462948816,2618,2.6871401151631478,2605,-0.9300736522143318
ascenty-hortolandia,2,70,0.11086474501108648,1804,0.5102040816326531,784,-0.3993393366215666
ascenty-hortolandia,2,85,0.0,1221,0.0,209,0.0
ascenty-hortolandia,2,95,0.0,460,0.0,15,0.0
ascenty-hortolandia,3,0,0.11459129106187929,2618,0.42226487523992323,2605,-0.3076735841780439
ascenty-hortolandia,3,70,0.0,1709,0.0,628,0.0
ascenty-hortolandia,3,85,0.0,1123,0.0,141,0.0
ascenty-hortolandia,3,95,0.0,373,0.0,11,0.0
ascenty-jundiai,1,0,10.435117443203696,2597,6.659056316590563,2628,3.7760611266131328
