site_id,tipo,pareado_com,ano,fase,sensor,raio_km,area_buffer_ha,pixels_validos,area_ha_vegetacao_densa,prop_vegetacao_densa,area_ha_vegetacao_rala,prop_vegetacao_rala,area_ha_solo_exposto_obras,prop_solo_exposto_obras,area_ha_construida_urbana,prop_construida_urbana,area_ha_agua,prop_agua
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2014,pre,landsat,0.5,78.54,886,31.77,0.39842,5.67,0.071106,0.54,0.006772,41.49,0.520316,0.27,0.003386
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2015,pre,landsat,0.5,78.54,886,31.59,0.396163,8.91,0.111738,0.36,0.004515,38.79,0.486456,0.09,0.001129
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2016,pre,landsat,0.5,78.54,886,30.78,0.386005,5.4,0.06772,0.45,0.005643,42.93,0.538375,0.18,0.002257
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2017,durante,landsat,0.5,78.54,886,30.24,0.379233,6.93,0.086907,0.81,0.010158,41.4,0.519187,0.36,0.004515
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2018,durante,landsat,0.5,78.54,886,31.68,0.397291,6.21,0.077878,0.27,0.003386,41.49,0.520316,0.09,0.001129
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2019,durante,landsat,0.5,78.54,886,32.31,0.405192,7.11,0.089165,0.54,0.006772,39.78,0.498871,0.0,0.0
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2020,pos,landsat,0.5,78.54,886,31.68,0.397291,7.29,0.091422,1.08,0.013544,39.6,0.496614,0.09,0.001129
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2014,pre,landsat,1.0,314.16,3522,84.6,0.266894,14.76,0.046564,5.58,0.017604,107.73,0.339864,104.31,0.329074
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2015,pre,landsat,1.0,314.16,3515,85.32,0.269701,22.59,0.071408,5.85,0.018492,100.8,0.318634,101.79,0.321764
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,2016,pre,landsat,1.0,314.16,3528,81.27,0.255952,18.63,0.058673,4.95,0.01559,108.9,0.342971,103.77,0.326814
