raio_km,classe,area_buffer_ha,n_pares,n_did_positivo,frac_positivo,p_binomial,did_mediano_pp,efeito_absoluto_mediano_ha,ruido_pre_obra_mediano_ha,efeito_absoluto_mediano_pp,ruido_pre_obra_mediano_pp
0.5,solo_exposto_obras,78.5,15,7,0.467,1.0,-0.0001,0.945,0.756,1.1509,0.9591
0.5,construida_urbana,78.5,15,7,0.467,1.0,-0.761,3.03,2.27,3.8823,2.879
0.5,vegetacao_densa,78.5,15,6,0.4,0.6072,-0.2462,1.422,0.368,1.8061,0.4535
1.0,solo_exposto_obras,314.2,15,8,0.533,1.0,0.0112,0.81,1.306,0.2577,0.415
1.0,construida_urbana,314.2,15,9,0.6,0.6072,0.4524,6.507,4.692,2.0545,1.4842
1.0,vegetacao_densa,314.2,15,5,0.333,0.3018,-1.0449,4.8,1.173,1.5203,0.3729
1.5,solo_exposto_obras,706.9,15,6,0.4,0.6072,-0.187,3.06,2.324,0.4351,0.3278
1.5,construida_urbana,706.9,15,10,0.667,0.3018,0.767,11.01,9.097,1.4807,1.2876
1.5,vegetacao_densa,706.9,15,7,0.467,1.0,-0.0903,8.587,4.877,1.2134,0.6664
2.0,solo_exposto_obras,1256.6,15,6,0.4,0.6072,-0.1741,6.732,3.736,0.5346,0.2962
2.0,construida_urbana,1256.6,15,10,0.667,0.3018,1.1686,20.94,16.09,1.6029,1.2808
2.0,vegetacao_densa,1256.6,15,8,0.533,1.0,0.0547,17.19,10.293,1.3178,0.7912
3.0,solo_exposto_obras,2827.4,15,6,0.4,0.6072,-0.1421,11.85,6.454,0.4245,0.2282
3.0,construida_urbana,2827.4,15,9,0.6,0.6072,0.3047,35.31,32.961,1.5444,1.1646
3.0,vegetacao_densa,2827.4,15,8,0.533,1.0,0.7068,59.743,30.008,1.9665,1.0258
5.0,solo_exposto_obras,7854.0,15,3,0.2,0.0352,-0.0971,11.715,13.818,0.1481,0.179
5.0,construida_urbana,7854.0,15,9,0.6,0.6072,0.7564,66.75,91.55,0.8456,1.1351
5.0,vegetacao_densa,7854.0,15,8,0.533,1.0,0.3533,69.12,93.15,0.8758,1.1662
