campus,site_id,tipo,raio_m,n_feicoes,interpretavel,n_residencial,ha_residencial,pct_residencial,n_comercial,ha_comercial,pct_comercial,n_industrial_logistico,ha_industrial_logistico,pct_industrial_logistico,n_institucional,ha_institucional,pct_institucional,n_indeterminado,ha_indeterminado,pct_indeterminado
angonap-fortaleza,angonap-fortaleza,tratamento,1000,5368,True,86,15.571,1.6,4,0.215,0.07,1,1.024,0.02,1,0.108,0.02,5276,57.35,98.29
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1000,2215,True,1927,45.146,87.0,1,0.126,0.05,11,0.34,0.5,1,0.007,0.05,275,4.665,12.42
ascenty-hortolandia,ascenty-hortolandia,tratamento,1000,22,True,2,6.291,9.09,2,0.436,9.09,5,38.717,22.73,3,0.162,13.64,10,4.423,45.45
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1000,4,False,0,0.0,0.0,0,0.0,0.0,1,6.474,25.0,0,0.0,0.0,3,3.627,75.0
ascenty-jundiai,ascenty-jundiai,tratamento,1000,238,True,3,13.181,1.26,0,0.0,0.0,30,50.035,12.61,0,0.0,0.0,205,8.6,86.13
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1000,3,False,0,0.0,0.0,0,0.0,0.0,2,0.018,66.67,0,0.0,0.0,1,0.011,33.33
ascenty-maracanau,ascenty-maracanau,tratamento,1000,1839,True,3,0.038,0.16,18,1.982,0.98,19,15.375,1.03,1,0.012,0.05,1798,18.518,97.77
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,1000,1,False,0,0.0,0.0,0,0.0,0.0,1,1995.396,100.0,0,0.0,0.0,0,0.0,0.0
ascenty-osasco,ascenty-osasco,tratamento,1000,60,True,4,46.391,6.67,1,0.944,1.67,37,96.858,61.67,1,0.031,1.67,17,2.97,28.33
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1000,57,True,2,1.851,3.51,2,0.677,3.51,10,86.603,17.54,0,0.0,0.0,43,16.661,75.44
ascenty-paulinia,ascenty-paulinia,tratamento,1000,34,True,13,195.758,38.24,1,0.037,2.94,9,66.445,26.47,1,0.029,2.94,10,1.336,29.41
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1000,16,True,0,0.0,0.0,1,0.147,6.25,6,175.703,37.5,0,0.0,0.0,9,0.305,56.25
ascenty-sumare,ascenty-sumare,tratamento,1000,19,True,1,1.249,5.26,2,2.774,10.53,4,94.505,21.05,3,0.804,15.79,9,3.397,47.37
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,1000,23,True,18,35.149,78.26,4,1.701,17.39,0,0.0,0.0,0,0.0,0.0,1,0.218,4.35
ascenty-vinhedo,ascenty-vinhedo,tratamento,1000,29,True,0,0.0,0.0,1,0.279,3.45,3,10.483,10.34,0,0.0,0.0,25,15.404,86.21
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,1000,16,True,6,258.256,37.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10,0.232,62.5
clickip-manaus,clickip-manaus,tratamento,1000,60,True,18,251.205,30.0,3,2.537,5.0,1,0.833,1.67,0,0.0,0.0,38,1.073,63.33
clickip-manaus,ctrl-clickip-manaus-p01,controle,1000,0,False,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,1000,59,True,33,78.701,55.93,5,12.935,8.47,6,3.021,10.17,0,0.0,0.0,15,14.076,25.42
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,1000,3,False,1,0.008,33.33,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.065,66.67
everest-goiania,everest-goiania,tratamento,1000,15,True,2,0.095,13.33,0,0.0,0.0,0,0.0,0.0,1,0.032,6.67,12,2.749,80.0
everest-goiania,ctrl-everest-goiania-p01,controle,1000,4,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.03,100.0
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,1000,128,True,14,0.902,10.94,28,4.114,21.88,2,0.045,1.56,19,2.384,14.84,65,4.282,50.78
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,1000,0,False,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
scala-sgigsm01,scala-sgigsm01,tratamento,1000,45,True,4,11.001,8.89,8,24.615,17.78,9,99.822,20.0,0,0.0,0.0,24,10.687,53.33
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,1000,114,True,108,176.308,94.74,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,0.233,5.26
scala-spoapa01,scala-spoapa01,tratamento,1000,5447,True,24,2.3,0.44,97,14.184,1.78,18,6.315,0.33,40,1.695,0.73,5268,125.207,96.71
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,1000,69,True,2,0.163,2.9,9,0.734,13.04,0,0.0,0.0,2,0.216,2.9,56,1.772,81.16
scala-tambore,scala-tambore,tratamento,1000,252,True,172,188.636,68.25,3,0.131,1.19,13,90.386,5.16,3,0.106,1.19,61,8.989,24.21
scala-tambore,ctrl-scala-tambore-p01,controle,1000,3,False,2,0.035,66.67,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.008,33.33
