estrato,classe_id,cota,ja_rotulado,restante
amazonia,3,15,0,15
amazonia,2,10,0,10
amazonia,4,10,0,10
amazonia,1,3,0,3
amazonia,5,2,0,2
caatinga,3,15,0,15
caatinga,2,10,0,10
caatinga,4,10,0,10
caatinga,1,3,0,3
caatinga,5,2,0,2
cerrado,3,15,0,15
cerrado,2,10,0,10
cerrado,4,10,0,10
cerrado,1,3,0,3
cerrado,5,2,0,2
mataatlantica_landsat,3,15,0,15
mataatlantica_landsat,2,10,0,10
mataatlantica_landsat,4,10,0,10
mataatlantica_landsat,1,3,0,3
mataatlantica_landsat,5,2,0,2
mataatlantica_s2,3,15,0,15
mataatlantica_s2,2,10,0,10
mataatlantica_s2,4,10,0,10
mataatlantica_s2,1,3,0,3
mataatlantica_s2,5,2,0,2
