site_id,municipio,uf,regiao,bioma,ano_inicio_obra,sensor,x_tipo_sitio,x_pct_ja_construida,x_area_footprint_ha,qualidade_par,dist_tratamento_controle_km,efeito_construcao_0_500m,score_construcao_0_500m,efeito_construcao_500m_1km,score_construcao_500m_1km,efeito_vegetacao_0_500m,score_vegetacao_0_500m,efeito_temperatura,score_temperatura,score_destaque_construcao_0_500m,leitura
ascenty-paulinia,Paulínia,SP,Sudeste,Mata Atlântica,2019,landsat,brownfield,50.0,1.5176,bom,20.0,6.363,100.0,7.558,100.0,6.252,100.0,-0.009,60.0,100.0,converteu +6.36 p.p. a mais que o controle no anel de 500 m
ascenty-maracanau,Maracanaú,CE,Nordeste,Caatinga,2014,landsat,,,0.8215,ruim,36.0,6.084,92.9,4.731,92.9,5.239,92.9,0.562,93.3,92.9,converteu +6.08 p.p. a mais que o controle no anel de 500 m
clickip-manaus,Manaus,AM,Norte,Amazônia,2023,s2,greenfield,0.0,0.1459,ruim,32.0,5.339,85.7,3.431,85.7,2.319,71.4,-2.719,6.7,85.7,converteu +5.34 p.p. a mais que o controle no anel de 500 m
scala-sgigsm01,São João de Meriti,RJ,Sudeste,Mata Atlântica,2022,s2,brownfield,71.26,3.6565,ruim,16.0,3.517,78.6,3.257,78.6,0.28,35.7,-0.823,20.0,78.6,converteu +3.52 p.p. a mais que o controle no anel de 500 m
ascenty-hortolandia,Hortolândia,SP,Sudeste,Mata Atlântica,2018,landsat,greenfield,31.84,13.1197,bom,16.0,3.101,71.4,-2.044,14.3,3.101,85.7,0.352,80.0,71.4,converteu +3.10 p.p. a mais que o controle no anel de 500 m
ascenty-vinhedo,Vinhedo,SP,Sudeste,Mata Atlântica,2019,landsat,greenfield,35.48,1.634,aceitavel,28.0,2.865,64.3,0.295,28.6,2.685,78.6,-0.408,40.0,64.3,converteu +2.86 p.p. a mais que o controle no anel de 500 m
scala-tambore,Barueri,SP,Sudeste,Mata Atlântica,2021,landsat,brownfield,89.74,1.938,ruim,20.0,2.185,57.1,1.564,57.1,2.185,64.3,-0.607,26.7,57.1,converteu +2.18 p.p. a mais que o controle no anel de 500 m
angonap-fortaleza,Fortaleza,CE,Nordeste,Caatinga,2017,landsat,greenfield,22.22,0.9046,aceitavel,16.0,1.933,50.0,0.746,50.0,-0.222,21.4,0.421,86.7,50.0,converteu +1.93 p.p. a mais que o controle no anel de 500 m
equinix-santana-parnaiba,Santana de Parnaíba,SP,Sudeste,Mata Atlântica,2020,landsat,greenfield,0.0,9.8868,ruim,16.0,1.148,42.9,1.609,64.3,0.907,57.1,-0.321,46.7,42.9,converteu +1.15 p.p. a mais que o controle no anel de 500 m
hostdime-joao-pessoa,João Pessoa,PB,Nordeste,Mata Atlântica,2017,landsat,brownfield,50.0,0.1909,ruim,16.0,0.775,35.7,0.029,21.4,0.664,50.0,-0.47,33.3,35.7,converteu +0.77 p.p. a mais que o controle no anel de 500 m
ascenty-osasco,Osasco,SP,Sudeste,Mata Atlântica,2020,landsat,brownfield,87.5,0.8102,ruim,16.0,0.331,28.6,0.39,35.7,0.331,42.9,-0.071,53.3,28.6,converteu +0.33 p.p. a mais que o controle no anel de 500 m
scala-spoapa01,Porto Alegre,RS,Sul,Mata Atlântica,2023,s2,greenfield,31.58,0.1073,ruim,20.0,0.288,21.4,0.644,42.9,-0.0,28.6,1.183,100.0,21.4,converteu +0.29 p.p. a mais que o controle no anel de 500 m
ascenty-sumare,Sumaré,SP,Sudeste,Mata Atlântica,2017,landsat,brownfield,87.64,5.8209,ruim,28.0,-3.085,14.3,-2.759,7.1,-3.66,14.3,0.012,66.7,14.3,converteu -3.08 p.p. a mais que o controle no anel de 500 m
ascenty-jundiai,Jundiaí,SP,Sudeste,Mata Atlântica,2019,landsat,brownfield,85.71,1.0603,bom,24.0,-5.374,7.1,2.646,71.4,-5.374,7.1,0.105,73.3,7.1,converteu -5.37 p.p. a mais que o controle no anel de 500 m
everest-goiania,Goiânia,GO,Centro-Oeste,Cerrado,2021,landsat,,,,ruim,20.0,,,,,,,-0.871,13.3,,sem par medido
