site_id,municipio,uf,codigo_ibge,ano,taxa_desocupacao_pct,fonte,data_extracao,origem_lista
angonap-fortaleza,Fortaleza,CE,2304400,2016,11.9,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2017,11.9,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2018,11.2,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2019,11.0,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2023,8.7,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2024,7.1,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
angonap-fortaleza,Fortaleza,CE,2304400,2025,7.4,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2016,18.1,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2017,18.3,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2018,17.5,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2019,18.4,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2023,11.8,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2024,10.3,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2025,9.2,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
everest-goiania,Goiânia,GO,5208707,2016,9.3,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
everest-goiania,Goiânia,GO,5208707,2017,7.0,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
everest-goiania,Goiânia,GO,5208707,2018,6.8,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
everest-goiania,Goiânia,GO,5208707,2019,7.3,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
everest-goiania,Goiânia,GO,5208707,2023,4.8,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
everest-goiania,Goiânia,GO,5208707,2024,4.1,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
everest-goiania,Goiânia,GO,5208707,2025,2.7,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
hostdime-joao-pessoa,João Pessoa,PB,2507507,2016,10.8,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
hostdime-joao-pessoa,João Pessoa,PB,2507507,2017,9.7,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
hostdime-joao-pessoa,João Pessoa,PB,2507507,2018,13.1,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
hostdime-joao-pessoa,João Pessoa,PB,2507507,2019,12.5,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
hostdime-joao-pessoa,João Pessoa,PB,2507507,2023,9.4,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
hostdime-joao-pessoa,João Pessoa,PB,2507507,2024,9.2,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
hostdime-joao-pessoa,João Pessoa,PB,2507507,2025,7.8,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
scala-spoapa01,Porto Alegre,RS,4314902,2016,8.6,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
scala-spoapa01,Porto Alegre,RS,4314902,2017,8.7,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
scala-spoapa01,Porto Alegre,RS,4314902,2018,9.6,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
scala-spoapa01,Porto Alegre,RS,4314902,2019,8.6,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
scala-spoapa01,Porto Alegre,RS,4314902,2023,6.0,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
scala-spoapa01,Porto Alegre,RS,4314902,2024,6.9,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
scala-spoapa01,Porto Alegre,RS,4314902,2025,5.0,"IBGE - PNAD Continua anual, SIDRA tabela 4562 (Taxa de desocupacao, na semana de referencia, das pessoas de 14 anos ou mais de idade) — so publicada pelo IBGE em nivel N6/Municipio para municipios-capital",2026-09-03,sites_validados
