site_id,nome,operador,municipio,uf,lat,lon,buffer_km,regiao,bioma,tier,ano_inicio_obra,periodo_pre,periodo_durante,periodo_pos,n_predios,precisao_coordenada,origem_lista,observacao,mw_construido_total,whitespace_construido_sqm_total,tier_projetado_max,n_predios_datacentermap,operadoras_datacentermap
angonap-fortaleza,AngoNAP Fortaleza,Angola Cables,Fortaleza,CE,-3.734736,-38.462636,5,Nordeste,Caatinga,1,2017.0,2014-2016,2017-2019,2020-2025,1,exata,sites_validados,,,,,,
ascenty-hortolandia,Ascenty Hortolândia (campus),Ascenty,Hortolândia,SP,-22.896022,-47.179246,5,Sudeste,Mata Atlântica,1,2018.0,2015-2017,2018-2022,2023-2025,6,exata,sites_validados,,43.0,29969.0,3.0,4.0,Ascenty Data Centers
ascenty-maracanau,Ascenty Fortaleza 1,Ascenty,Maracanaú,CE,-3.830803,-38.611253,5,Nordeste,Caatinga,1,2014.0,2011-2013,2014-2015,2016-2025,1,exata,sites_validados,,,,,,
ascenty-osasco,Ascenty São Paulo 3/4 (Osasco),Ascenty,Osasco,SP,-23.492259,-46.777232,5,Sudeste,Mata Atlântica,1,2020.0,2017-2019,2020-2023,2024-2025,2,exata,sites_validados,,13.0,11492.0,3.0,2.0,Ascenty Data Centers
ascenty-sumare,Ascenty Sumaré (campus),Ascenty,Sumaré,SP,-22.8069862,-47.2200481,5,Sudeste,Mata Atlântica,1,2017.0,2014-2016,2017-2019,2020-2025,2,aproximada,sites_validados,,34.0,0.0,3.0,2.0,Ascenty Data Centers
ascenty-vinhedo,Ascenty Vinhedo,Ascenty,Vinhedo,SP,-23.0700044,-47.0118926,5,Sudeste,Mata Atlântica,1,2019.0,2016-2018,2019-2020,2021-2025,2,exata,sites_validados,,61.0,45978.0,3.0,2.0,Ascenty Data Centers
clickip-manaus,ClickIP Datacenters,ClickIP Datacenters,Manaus,AM,-3.055564,-59.989801,5,Norte,Amazônia,1,2023.0,2020-2022,2023-2024,2025-2025,1,exata,sites_validados,,,,,,
equinix-santana-parnaiba,Equinix SP5x/SP6 (Santana de Parnaíba),Equinix,Santana de Parnaíba,SP,-23.460369,-46.859912,5,Sudeste,Mata Atlântica,1,2020.0,2017-2019,2020-2021,2022-2025,2,exata,sites_validados,,14.4,5087.0,,1.0,Equinix
everest-goiania,Everest Digital Data Center,Everest Digital (Grupo Soluti),Goiânia,GO,-16.6915189,-49.2371899,5,Centro-Oeste,Cerrado,1,2021.0,2018-2020,2021-2023,2024-2025,1,aproximada,sites_validados,,,,,,
odata-hortolandia,ODATA Data Center SP02,ODATA (Aligned Data Centers),Hortolândia,SP,-22.8995299,-47.1952611,5,Sudeste,Mata Atlântica,1,,,,,1,exata,sites_validados,,,,,,
scala-sgigsm01,Scala SGIGSM01,Scala Data Centers,São João de Meriti,RJ,-22.799883,-43.353842,5,Sudeste,Mata Atlântica,1,2022.0,2019-2021,2022-2023,2024-2025,1,exata,sites_validados,,13.2,1467.0,,2.0,Equinix; Scala Data Centers
scala-spoapa01,Scala SPOAPA01,Scala Data Centers,Porto Alegre,RS,-30.002768,-51.198149,5,Sul,Mata Atlântica,1,2023.0,2020-2022,2023-2023,2024-2025,1,exata,sites_validados,,8.4,0.0,,1.0,Scala Data Centers
scala-tambore,Scala Data Centers - SGRUTB12,Scala Data Centers,Barueri,SP,-23.4948321,-46.8130769,5,Sudeste,Mata Atlântica,1,2021.0,2018-2020,2021-2023,2024-2025,6,exata,sites_validados,,21.0,0.0,,1.0,Scala Data Centers
ascenty-jundiai,Ascenty Jundiaí 2,Ascenty,Jundiaí,SP,-23.191744,-46.974604,5,Sudeste,Mata Atlântica,2,2019.0,2016-2018,2019-2019,2020-2025,1,exata,sites_validados,,13.0,8993.0,3.0,1.0,Ascenty Data Centers
ascenty-paulinia,Ascenty Paulínia 1,Ascenty,Paulínia,SP,-22.7974087,-47.1345476,5,Sudeste,Mata Atlântica,2,2019.0,2016-2018,2019-2019,2020-2025,1,aproximada,sites_validados,,13.0,0.0,3.0,1.0,Ascenty Data Centers
hostdime-joao-pessoa,HostDime Brazil (João Pessoa),HostDime,João Pessoa,PB,-7.117382,-34.856902,5,Nordeste,Mata Atlântica,2,2017.0,2014-2016,2017-2017,2018-2025,1,exata,sites_validados,,,,,,
scala-ai-city,Scala AI City,Scala Data Centers,Eldorado do Sul,RS,-30.07425077314578,-51.49400150419427,5,,,,,,,,,,datacentermap_novo,Coordenada reconciliada do scraping datacentermap.com do Guilherme (datacenter-extracao-modelos/data/02_silver/datacentermap_enriquecido.csv) — NAO passou pela validacao em 5 camadas (V1-V5) que os sites_validados tiveram.,0.0,0.0,,1.0,Scala Data Centers
pecem-datacenter,Pecém Data Center,,São Gonçalo do Amarante,CE,-3.653321,-38.8251428,5,,,,,,,,,,datacentermap_novo,Coordenada reconciliada do scraping datacentermap.com do Guilherme (datacenter-extracao-modelos/data/02_silver/datacentermap_enriquecido.csv) — NAO passou pela validacao em 5 camadas (V1-V5) que os sites_validados tiveram.,900.0,0.0,,1.0,Casa dos Ventos
rtone-uberlandia,RT-One Uberlândia,RT-One,Uberlândia,MG,,,5,,,,,,,,,,datacentermap_novo,Coordenada reconciliada do scraping datacentermap.com do Guilherme (datacenter-extracao-modelos/data/02_silver/datacentermap_enriquecido.csv) — NAO passou pela validacao em 5 camadas (V1-V5) que os sites_validados tiveram.,400.0,0.0,,1.0,RT-One
