site_id,municipio,uf,codigo_ibge,ano,emprego_formal_total,pessoal_ocupado_total,numero_empresas,fonte,data_extracao
angonap-fortaleza,Fortaleza,CE,2304400,2016,764914,847545,59046,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2017,757867,841351,58323,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2018,766815,849045,56922,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2019,763558,849116,60618,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2020,729661,818765,62532,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2021,754786,848283,65610,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2022,802592,951646,112708,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2023,794017,954678,122950,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
angonap-fortaleza,Fortaleza,CE,2304400,2024,853909,1025173,132367,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2016,43916,49728,4551,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2017,45683,51170,4340,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2018,43989,49529,4437,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2019,46222,51965,4759,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2020,46849,53067,5044,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2021,48701,55322,5502,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2022,52612,63078,8386,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2023,56564,67732,9002,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-hortolandia,Hortolândia,SP,3519071,2024,58099,69827,9701,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2016,165524,188904,17099,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2017,161787,186225,17707,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2018,164279,188446,17788,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-jundiai,Jundiaí,SP,3525904,2019,167534,194183,20143,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
