campus,site_id,tipo,zona,procedencia,sensor,footprint_excluido,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,validado_5_camadas,landsat,True,864,24,10,3,2.7777777777777777,1.1574074074074074,0.3472222222222222
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,validado_5_camadas,landsat,False,2652,40,23,12,1.5082956259426847,0.8672699849170438,0.45248868778280543
angonap-fortaleza,angonap-fortaleza,tratamento,1-2km,validado_5_camadas,landsat,False,10492,189,121,48,1.8013724742661075,1.1532596263820054,0.4574914220358368
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,validado_5_camadas,landsat,False,886,11,2,9,1.2415349887133182,0.22573363431151242,1.0158013544018059
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2623,20,1,11,0.7624857033930614,0.03812428516965307,0.41936713686618377
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,validado_5_camadas,landsat,False,10512,74,20,29,0.7039573820395738,0.1902587519025875,0.2758751902587519
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,validado_5_camadas,landsat,True,693,2,0,2,0.2886002886002886,0.0,0.2886002886002886
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,validado_5_camadas,landsat,False,2618,46,2,44,1.757066462948816,0.07639419404125286,1.680672268907563
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,validado_5_camadas,landsat,False,10479,342,104,314,3.263670197537933,0.9924611127015937,2.996469128733658
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,validado_5_camadas,landsat,False,874,14,1,14,1.6018306636155606,0.11441647597254005,1.6018306636155606
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2605,70,6,69,2.6871401151631478,0.23032629558541268,2.6487523992322455
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,validado_5_camadas,landsat,False,10321,76,7,73,0.7363627555469431,0.06782288537932371,0.7072958046700901
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,validado_5_camadas,landsat,True,855,19,3,19,2.2222222222222223,0.3508771929824561,2.2222222222222223
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,validado_5_camadas,landsat,False,2597,128,45,116,4.928763958413554,1.7327685791297651,4.466692337312283
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,validado_5_camadas,landsat,False,10457,136,16,116,1.3005642153581334,0.1530075547480157,1.1093047719231137
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,validado_5_camadas,landsat,False,875,67,3,67,7.6571428571428575,0.34285714285714286,7.6571428571428575
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2628,60,0,59,2.2831050228310503,0.0,2.2450532724505328
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,validado_5_camadas,landsat,False,10458,260,4,256,2.4861350162554983,0.038248231019315355,2.4478867852361827
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,validado_5_camadas,landsat,True,710,44,0,38,6.197183098591549,0.0,5.352112676056338
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,validado_5_camadas,landsat,False,2642,125,2,117,4.7312641937925815,0.0757002271006813,4.4284632853898565
ascenty-maracanau,ascenty-maracanau,tratamento,1-2km,validado_5_camadas,landsat,False,10598,403,7,373,3.802604264955652,0.06605019815059446,3.5195319871673902
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,validado_5_camadas,landsat,False,884,1,0,1,0.11312217194570136,0.0,0.11312217194570136
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,validado_5_camadas,landsat,False,2647,0,0,0,0.0,0.0,0.0
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,1-2km,validado_5_camadas,landsat,False,10586,365,54,121,3.447950122803703,0.5101076894010957,1.1430190818061592
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,validado_5_camadas,landsat,True,846,12,0,12,1.4184397163120568,0.0,1.4184397163120568
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,validado_5_camadas,landsat,False,2618,40,13,40,1.5278838808250572,0.4965622612681436,1.5278838808250572
ascenty-osasco,ascenty-osasco,tratamento,1-2km,validado_5_camadas,landsat,False,10449,176,18,170,1.6843717102115034,0.17226528854435832,1.6269499473633842
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,validado_5_camadas,landsat,False,754,8,0,8,1.0610079575596818,0.0,1.0610079575596818
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2548,29,5,22,1.1381475667189953,0.19623233908948196,0.8634222919937206
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,validado_5_camadas,landsat,False,10233,104,18,88,1.0163197498289847,0.1759014951627089,0.8599628652399101
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,validado_5_camadas,landsat,True,847,79,3,75,9.327036599763872,0.3541912632821724,8.85478158205431
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,validado_5_camadas,landsat,False,2610,236,18,211,9.042145593869732,0.6896551724137931,8.084291187739463
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,validado_5_camadas,landsat,False,10486,341,25,306,3.2519549876025176,0.2384131222582491,2.918176616440969
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,validado_5_camadas,landsat,False,871,28,0,25,3.214695752009185,0.0,2.8702640642939152
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,validado_5_camadas,landsat,False,2627,39,1,38,1.48458317472402,0.03806623524933384,1.446516939474686
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,validado_5_camadas,landsat,False,10469,141,7,127,1.3468335084535294,0.06686407488776387,1.2131053586780016
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,validado_5_camadas,landsat,True,842,10,2,4,1.187648456057007,0.2375296912114014,0.4750593824228028
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,validado_5_camadas,landsat,True,2560,11,0,5,0.4296875,0.0,0.1953125
ascenty-sumare,ascenty-sumare,tratamento,1-2km,validado_5_camadas,landsat,False,10476,186,43,143,1.7754868270332187,0.41046200840015273,1.365024818633066
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,validado_5_camadas,landsat,False,874,38,1,36,4.3478260869565215,0.11441647597254005,4.118993135011442
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2611,84,14,55,3.2171581769436997,0.5361930294906166,2.106472615855994
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,1-2km,validado_5_camadas,landsat,False,10495,403,83,387,3.8399237732253453,0.7908527870414483,3.6874702239161508
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,validado_5_camadas,landsat,False,764,35,20,31,4.5811518324607325,2.6178010471204187,4.057591623036649
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,validado_5_camadas,landsat,True,2595,60,19,53,2.3121387283236996,0.7321772639691715,2.0423892100192678
ascenty-vinhedo,ascenty-vinhedo,tratamento,1-2km,validado_5_camadas,landsat,False,10453,74,27,32,0.7079307375872955,0.2582990529034727,0.30613221084856024
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,validado_5_camadas,landsat,False,874,15,1,12,1.7162471395881007,0.11441647597254005,1.3729977116704806
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,validado_5_camadas,landsat,False,2615,59,0,59,2.2562141491395793,0.0,2.2562141491395793
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,1-2km,validado_5_camadas,landsat,False,10483,114,6,104,1.0874749594581703,0.057235524182008966,0.9920824191548221
clickip-manaus,clickip-manaus,tratamento,0-0.5km,validado_5_camadas,s2,True,8390,435,171,180,5.184743742550656,2.038140643623361,2.1454112038140645
clickip-manaus,clickip-manaus,tratamento,0.5-1km,validado_5_camadas,s2,False,25242,924,364,454,3.660565723793677,1.4420410427066002,1.7985896521670233
clickip-manaus,clickip-manaus,tratamento,1-2km,validado_5_camadas,s2,False,100967,3486,1157,1823,3.452613230065269,1.1459189636217775,1.805540424098963
clickip-manaus,ctrl-clickip-manaus-p01,controle,0-0.5km,validado_5_camadas,s2,False,8448,1,0,0,0.011837121212121212,0.0,0.0
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5-1km,validado_5_camadas,s2,False,25294,58,7,45,0.22930339210880052,0.027674547323475924,0.17790780422234523
clickip-manaus,ctrl-clickip-manaus-p01,controle,1-2km,validado_5_camadas,s2,False,101161,366,50,332,0.3617995077154239,0.049426162256205455,0.3281897173812042
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,validado_5_camadas,landsat,True,696,18,5,16,2.586206896551724,0.7183908045977011,2.2988505747126435
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,validado_5_camadas,landsat,True,2563,61,8,57,2.3800234100663284,0.3121342177136169,2.2239563012095203
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,1-2km,validado_5_camadas,landsat,False,10467,183,3,179,1.7483519633132703,0.028661507595299514,1.710136619852871
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,validado_5_camadas,landsat,False,876,10,0,10,1.1415525114155252,0.0,1.1415525114155252
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2608,20,0,20,0.7668711656441718,0.0,0.7668711656441718
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,1-2km,validado_5_camadas,landsat,False,10432,398,299,315,3.8151840490797544,2.866180981595092,3.019555214723926
everest-goiania,everest-goiania,tratamento,0-0.5km,validado_5_camadas,landsat,False,876,7,0,7,0.7990867579908676,0.0,0.7990867579908676
everest-goiania,everest-goiania,tratamento,0.5-1km,validado_5_camadas,landsat,False,2633,30,6,29,1.139384732244588,0.2278769464489176,1.1014052411697683
everest-goiania,everest-goiania,tratamento,1-2km,validado_5_camadas,landsat,False,10516,190,19,170,1.8067706352225181,0.1806770635222518,1.6165842525675163
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,validado_5_camadas,landsat,False,876,4,0,4,0.45662100456621,0.0,0.45662100456621
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2635,7,0,7,0.2656546489563567,0.0,0.2656546489563567
everest-goiania,ctrl-everest-goiania-p01,controle,1-2km,validado_5_camadas,landsat,False,10509,129,24,108,1.2275192691978305,0.22837567799029404,1.0276905509563232
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,validado_5_camadas,landsat,True,896,19,2,17,2.1205357142857144,0.22321428571428573,1.8973214285714286
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,validado_5_camadas,landsat,False,2512,51,1,48,2.0302547770700636,0.03980891719745223,1.910828025477707
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,1-2km,validado_5_camadas,landsat,False,7761,204,7,194,2.6285272516428297,0.09019456255637161,2.4996778765622985
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,0-0.5km,validado_5_camadas,landsat,False,901,12,1,11,1.3318534961154274,0.11098779134295228,1.2208657047724751
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2698,54,0,52,2.001482579688658,0.0,1.927353595255745
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,1-2km,validado_5_camadas,landsat,False,10750,303,7,290,2.818604651162791,0.06511627906976744,2.697674418604651
scala-sgigsm01,scala-sgigsm01,tratamento,0-0.5km,validado_5_camadas,s2,True,7493,376,231,26,5.018016815694648,3.0828773521953825,0.34699052448952356
scala-sgigsm01,scala-sgigsm01,tratamento,0.5-1km,validado_5_camadas,s2,True,23488,1088,743,81,4.632152588555858,3.163317438692098,0.34485694822888285
scala-sgigsm01,scala-sgigsm01,tratamento,1-2km,validado_5_camadas,s2,False,94247,3348,2055,420,3.552367714622216,2.180440756734962,0.44563752692393394
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,0-0.5km,validado_5_camadas,s2,False,7853,107,55,9,1.3625366102126575,0.7003692856233287,0.11460588310199923
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,0.5-1km,validado_5_camadas,s2,False,23563,322,168,45,1.3665492509442771,0.7129822178839706,0.1909773797903493
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,1-2km,validado_5_camadas,s2,False,94224,1761,953,226,1.868950585838003,1.0114195958566818,0.23985396501952794
scala-spoapa01,scala-spoapa01,tratamento,0-0.5km,validado_5_camadas,s2,True,7897,330,176,7,4.178802076738002,2.2286944409269345,0.08864125617323033
scala-spoapa01,scala-spoapa01,tratamento,0.5-1km,validado_5_camadas,s2,False,23760,1169,595,22,4.92003367003367,2.5042087542087543,0.09259259259259259
scala-spoapa01,scala-spoapa01,tratamento,1-2km,validado_5_camadas,s2,False,94999,3000,1577,122,3.157927978189244,1.660017473868146,0.1284224044463626
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,0-0.5km,validado_5_camadas,s2,False,7910,310,114,7,3.9190897597977243,1.4412136536030342,0.08849557522123894
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,0.5-1km,validado_5_camadas,s2,False,23763,1016,399,28,4.275554433362791,1.6790809241257416,0.11783024028952574
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,1-2km,validado_5_camadas,s2,False,94977,3602,1635,162,3.7924971308843194,1.7214694083830822,0.17056761110584667
scala-tambore,scala-tambore,tratamento,0-0.5km,validado_5_camadas,landsat,True,831,21,0,21,2.527075812274368,0.0,2.527075812274368
scala-tambore,scala-tambore,tratamento,0.5-1km,validado_5_camadas,landsat,False,2621,71,2,68,2.7088897367417015,0.07630675314765356,2.594429607020221
scala-tambore,scala-tambore,tratamento,1-2km,validado_5_camadas,landsat,False,10450,140,7,129,1.3397129186602872,0.06698564593301436,1.2344497607655502
scala-tambore,ctrl-scala-tambore-p01,controle,0-0.5km,validado_5_camadas,landsat,False,873,2,0,2,0.2290950744558992,0.0,0.2290950744558992
scala-tambore,ctrl-scala-tambore-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2620,30,0,30,1.1450381679389312,0.0,1.1450381679389312
scala-tambore,ctrl-scala-tambore-p01,controle,1-2km,validado_5_camadas,landsat,False,10473,64,8,59,0.6110951971736848,0.0763868996467106,0.5633533848944906
exp-elea-rjo1,exp-elea-rjo1,tratamento,0-0.5km,datacentermap,landsat,True,595,2,0,0,0.33613445378151263,0.0,0.0
exp-elea-rjo1,exp-elea-rjo1,tratamento,0.5-1km,datacentermap,landsat,True,2125,36,1,30,1.6941176470588235,0.047058823529411764,1.411764705882353
exp-elea-rjo1,exp-elea-rjo1,tratamento,1-2km,datacentermap,landsat,True,10429,279,15,203,2.6752325246907662,0.1438297056285358,1.9464953495061847
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,0-0.5km,datacentermap,landsat,False,874,4,0,4,0.4576659038901602,0.0,0.4576659038901602
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,0.5-1km,datacentermap,landsat,False,2610,12,0,10,0.45977011494252873,0.0,0.3831417624521073
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,1-2km,datacentermap,landsat,False,10483,37,2,33,0.3529523991223886,0.019078508060669654,0.3147953830010493
exp-asap-sp1,exp-asap-sp1,tratamento,0-0.5km,datacentermap,landsat,False,871,8,4,4,0.9184845005740528,0.4592422502870264,0.4592422502870264
exp-asap-sp1,exp-asap-sp1,tratamento,0.5-1km,datacentermap,landsat,True,2582,26,1,25,1.0069713400464757,0.038729666924864445,0.9682416731216111
