site_id,site_id_controle,posicao_final_rf,lat,lon,dist_ao_tratamento_km,l1_mapbiomas,l1_rf,qualidade_rf,municipio,uf,metodo_municipio,escolhido
angonap-fortaleza,ctrl-angonap-fortaleza-p01,1,-3.697276,-38.601757,16.0,0.384545,0.157896,aceitavel,Caucaia,CE,municipio_vizinho_microrregiao_ibge,True
angonap-fortaleza,ctrl-angonap-fortaleza-p02,2,-3.687907,-38.636535,20.0,0.546739,0.320163,ruim,Caucaia,CE,municipio_vizinho_microrregiao_ibge,False
angonap-fortaleza,ctrl-angonap-fortaleza-p04,3,-3.678537,-38.671312,24.0,0.778502,0.643434,ruim,Caucaia,CE,municipio_vizinho_microrregiao_ibge,False
angonap-fortaleza,ctrl-angonap-fortaleza-p03,4,-3.874498,-38.499921,16.0,0.757152,1.04496,ruim,Fortaleza,CE,mesmo_municipio,False
angonap-fortaleza,ctrl-angonap-fortaleza-p05,5,-3.909438,-38.416028,20.0,1.01116,1.154278,ruim,Aquiraz,CE,municipio_vizinho_microrregiao_ibge,False
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,1,-22.968204,-47.044123,16.0,0.056711,0.036282,bom,Campinas,SP,municipio_vizinho_microrregiao_ibge,True
ascenty-hortolandia,ctrl-ascenty-hortolandia-p02,2,-23.105342,-47.239881,24.0,0.074731,0.190452,aceitavel,Indaiatuba,SP,municipio_vizinho_microrregiao_ibge,False
ascenty-hortolandia,ctrl-ascenty-hortolandia-p04,3,-22.805632,-47.347949,20.0,0.763786,0.429363,ruim,Nova Odessa,SP,municipio_vizinho_microrregiao_ibge,False
ascenty-hortolandia,ctrl-ascenty-hortolandia-p03,4,-22.849168,-46.991023,20.0,0.62474,0.5379,ruim,Campinas,SP,municipio_vizinho_microrregiao_ibge,False
ascenty-hortolandia,ctrl-ascenty-hortolandia-p05,5,-22.751313,-46.909428,32.0,0.829956,0.841319,ruim,Pedreira,SP,municipio_vizinho_microrregiao_ibge,False
ascenty-jundiai,ctrl-ascenty-jundiai-p01,1,-23.24767,-46.74807,24.0,0.043819,0.088258,bom,Campo Limpo Paulista,SP,municipio_vizinho_microrregiao_ibge,True
