pareado_com,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2014,-3,False,886,52.0316
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2015,-2,False,886,48.6456
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2016,-1,False,886,53.8375
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2017,0,False,886,51.9187
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2018,1,False,886,52.0316
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2019,2,False,886,49.8871
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,landsat,2020,3,False,886,49.6614
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2014,-3,False,2636,27.9211
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2015,-2,False,2629,26.2077
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2016,-1,False,2642,27.7441
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2017,0,False,2642,28.3119
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2018,1,False,2642,27.7063
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2019,2,False,2642,25.3974
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,landsat,2020,3,False,2642,27.9334
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,landsat,2014,-3,False,10559,32.7304
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,landsat,2015,-2,False,10583,33.7995
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,landsat,2016,-1,False,10594,34.0287
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,landsat,2017,0,False,10596,34.2771
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,landsat,2018,1,False,10595,32.0057
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,landsat,2019,2,False,10580,28.4121
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,landsat,2020,3,False,10598,29.8453
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2014,-3,True,864,75.1157
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2015,-2,True,864,80.787
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2016,-1,True,864,78.125
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2017,0,True,864,73.9583
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2018,1,True,864,78.8194
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2019,2,True,864,74.3056
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,landsat,2020,3,True,864,69.3287
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2014,-3,True,2652,71.644
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2015,-2,True,2652,74.1327
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,landsat,2016,-1,True,2652,73.2278
