zona,t_relativo,n,mediana,q25,q75
0-0.5km,-3,14,0.0,0.0,0.0
0-0.5km,-2,14,0.3302,-1.0122,3.6066
0-0.5km,-1,14,0.0734,-2.6373,2.7946
0-0.5km,0,14,0.2823,-1.8426,6.0837
0-0.5km,1,14,2.6165,-1.0534,5.2902
0-0.5km,2,14,1.157,-1.426,5.6091
0-0.5km,3,12,-0.0544,-2.777,2.5923
0-0.5km,4,1,10.6722,10.6722,10.6722
0.5-1km,-3,14,0.0,0.0,0.0
0.5-1km,-2,14,-0.2065,-1.538,2.5569
0.5-1km,-1,14,1.88,-1.5878,3.0691
0.5-1km,0,14,1.1298,-0.5661,2.547
0.5-1km,1,14,2.4878,-1.5746,4.1724
0.5-1km,2,14,0.3519,-2.9204,3.0595
0.5-1km,3,12,0.768,-4.5736,3.6087
0.5-1km,4,1,3.5934,3.5934,3.5934
1-2km,-3,14,0.0,0.0,0.0
1-2km,-2,14,-0.7083,-1.4707,0.7242
1-2km,-1,14,0.0386,-2.0715,1.7425
1-2km,0,14,0.986,-2.1583,1.4579
1-2km,1,14,0.9232,-3.3974,2.6757
1-2km,2,14,-1.1582,-2.7154,3.5362
1-2km,3,12,0.077,-2.8259,1.0979
1-2km,4,1,5.2765,5.2765,5.2765
