campus,site_id,tipo,zona,r_int,r_ext,pixels_validos,pct_virou_construida
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,0.0,0.5,882,3.1746031746031744
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,0.5,1.0,2652,1.5082956259426847
angonap-fortaleza,angonap-fortaleza,tratamento,1-2km,1.0,2.0,10492,1.8013724742661075
angonap-fortaleza,angonap-fortaleza,tratamento,2-3km,2.0,3.0,17356,0.8757778289928555
angonap-fortaleza,angonap-fortaleza,tratamento,3-5km,3.0,5.0,54661,0.572620332595452
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,0.0,0.5,886,1.2415349887133182
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,0.5,1.0,2623,0.7624857033930614
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,1-2km,1.0,2.0,10512,0.7039573820395738
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,2-3km,2.0,3.0,17316,0.2772002772002772
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,3-5km,3.0,5.0,55150,0.5167724388032638
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,0.0,0.5,872,0.22935779816513763
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,0.5,1.0,2618,1.757066462948816
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,1.0,2.0,10479,3.263670197537933
ascenty-hortolandia,ascenty-hortolandia,tratamento,2-3km,2.0,3.0,17461,4.0318423916156005
ascenty-hortolandia,ascenty-hortolandia,tratamento,3-5km,3.0,5.0,55842,2.7918054510941586
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,0.0,0.5,874,1.6018306636155606
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,0.5,1.0,2605,2.6871401151631478
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,1.0,2.0,10321,0.7363627555469431
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,2-3km,2.0,3.0,17378,1.7550926458740936
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,3-5km,3.0,5.0,55852,1.5881257609396262
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,0.0,0.5,876,2.2831050228310503
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,0.5,1.0,2597,4.928763958413554
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,1.0,2.0,10457,1.3005642153581334
ascenty-jundiai,ascenty-jundiai,tratamento,2-3km,2.0,3.0,17092,0.9478118417973321
ascenty-jundiai,ascenty-jundiai,tratamento,3-5km,3.0,5.0,54963,2.039553881702236
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,0.0,0.5,875,7.6571428571428575
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,0.5,1.0,2628,2.2831050228310503
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,1.0,2.0,10458,2.4861350162554983
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,2-3km,2.0,3.0,17453,2.3778147023434366
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,3-5km,3.0,5.0,55843,1.2284440305857494
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,0.0,0.5,710,6.197183098591549
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,0.5,1.0,2642,4.7312641937925815
ascenty-maracanau,ascenty-maracanau,tratamento,1-2km,1.0,2.0,10598,3.802604264955652
ascenty-maracanau,ascenty-maracanau,tratamento,2-3km,2.0,3.0,17435,2.4605678233438484
ascenty-maracanau,ascenty-maracanau,tratamento,3-5km,3.0,5.0,56341,2.8664737935073923
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,0.0,0.5,884,0.11312217194570136
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,0.5,1.0,2647,0.0
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,1-2km,1.0,2.0,10586,3.447950122803703
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,2-3km,2.0,3.0,17640,7.046485260770975
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,3-5km,3.0,5.0,56417,2.8892000638105535
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,0.0,0.5,862,1.3921113689095128
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,0.5,1.0,2618,1.5278838808250572
ascenty-osasco,ascenty-osasco,tratamento,1-2km,1.0,2.0,10449,1.6843717102115034
ascenty-osasco,ascenty-osasco,tratamento,2-3km,2.0,3.0,17270,1.0422698320787493
ascenty-osasco,ascenty-osasco,tratamento,3-5km,3.0,5.0,55842,0.805845062855915
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,0.0,0.5,754,1.0610079575596818
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,0.5,1.0,2548,1.1381475667189953
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1-2km,1.0,2.0,10233,1.0163197498289847
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,2-3km,2.0,3.0,16860,2.111506524317912
