zona,limiar_pct,tipo_sitio,n,n_positivo,frac_positivo,p_unilateral,excesso_mediano_pp
0-0.5km,20,greenfield,2,2,1.0,0.25,3.2432
0-0.5km,20,brownfield,11,9,0.818,0.0327,1.9331
0-0.5km,30,greenfield,3,3,1.0,0.125,1.9331
0-0.5km,30,brownfield,10,8,0.8,0.0547,1.4796
0-0.5km,40,greenfield,6,6,1.0,0.0156,2.399
0-0.5km,40,brownfield,7,5,0.714,0.2266,0.7746
0-0.5km,50,greenfield,6,6,1.0,0.0156,2.399
0-0.5km,50,brownfield,7,5,0.714,0.2266,0.7746
0-0.5km,60,greenfield,8,8,1.0,0.0039,2.399
0-0.5km,60,brownfield,5,3,0.6,0.5,0.3311
0-0.5km,70,greenfield,8,8,1.0,0.0039,2.399
0-0.5km,70,brownfield,5,3,0.6,0.5,0.3311
0-0.5km,80,greenfield,9,9,1.0,0.002,2.8649
0-0.5km,80,brownfield,4,2,0.5,0.6875,-1.3769
0.5-1km,20,greenfield,2,2,1.0,0.25,2.5203
0.5-1km,20,brownfield,11,9,0.818,0.0327,0.6445
0.5-1km,30,greenfield,3,3,1.0,0.125,1.6094
0.5-1km,30,brownfield,10,8,0.8,0.0547,0.5171
0.5-1km,40,greenfield,6,5,0.833,0.1094,0.6951
0.5-1km,40,brownfield,7,6,0.857,0.0625,1.5639
0.5-1km,50,greenfield,6,5,0.833,0.1094,0.6951
0.5-1km,50,brownfield,7,6,0.857,0.0625,1.5639
0.5-1km,60,greenfield,8,7,0.875,0.0352,0.6951
0.5-1km,60,brownfield,5,4,0.8,0.1875,1.5639
0.5-1km,70,greenfield,8,7,0.875,0.0352,0.6951
0.5-1km,70,brownfield,5,4,0.8,0.1875,1.5639
0.5-1km,80,greenfield,9,8,0.889,0.0195,0.7458
0.5-1km,80,brownfield,4,3,0.75,0.3125,0.9768
1-2km,20,greenfield,2,1,0.5,0.75,0.512
1-2km,20,brownfield,11,6,0.545,0.5,0.6681
1-2km,30,greenfield,3,2,0.667,0.5,1.0974
1-2km,30,brownfield,10,5,0.5,0.623,0.239
1-2km,40,greenfield,6,3,0.5,0.6562,0.3589
1-2km,40,brownfield,7,4,0.571,0.5,0.6681
1-2km,50,greenfield,6,3,0.5,0.6562,0.3589
1-2km,50,brownfield,7,4,0.571,0.5,0.6681
1-2km,60,greenfield,8,4,0.5,0.6367,0.4536
1-2km,60,brownfield,5,3,0.6,0.5,0.6681
1-2km,70,greenfield,8,4,0.5,0.6367,0.4536
1-2km,70,brownfield,5,3,0.6,0.5,0.6681
1-2km,80,greenfield,9,5,0.556,0.5,1.0974
1-2km,80,brownfield,4,2,0.5,0.6875,-0.2587
