zona,t_relativo,n,mediana,q25,q75
0-0.5km,-3,14,0.0,0.0,0.0
0-0.5km,-2,14,0.3302,-1.0122,3.6066
0-0.5km,-1,14,0.0734,-2.6373,2.7946
0-0.5km,0,14,0.2823,-1.8426,6.0837
0-0.5km,1,14,2.6165,-1.0534,5.2902
0-0.5km,2,14,1.157,-1.426,5.6091
0-0.5km,3,12,-0.0544,-2.777,2.5923
0-0.5km,4,9,0.1216,-2.6947,3.4531
0-0.5km,5,7,-2.9153,-5.1998,9.7012
0-0.5km,6,4,-1.5869,-4.2032,3.5132
0.5-1km,-3,14,0.0,0.0,0.0
0.5-1km,-2,14,-0.2065,-1.538,2.5569
0.5-1km,-1,14,1.88,-1.5878,3.0691
0.5-1km,0,14,1.1298,-0.5661,2.547
0.5-1km,1,14,2.4878,-1.5746,4.1724
0.5-1km,2,14,0.3519,-2.9204,3.0595
0.5-1km,3,12,0.768,-4.5736,3.6087
0.5-1km,4,9,3.5934,-2.9139,6.8105
0.5-1km,5,7,2.1569,-2.7691,4.8532
0.5-1km,6,4,-2.89,-8.1447,1.5019
