campus,site_id,tipo,zona,ano,t_relativo,pixels_validos,lst_media_c
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,2014,-3,864,39.72
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,2015,-2,864,36.6731
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,2016,-1,864,39.1727
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,2017,0,864,41.4642
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,2018,1,864,38.8207
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,2019,2,864,37.5815
angonap-fortaleza,angonap-fortaleza,tratamento,0-0.5km,2020,3,864,37.7813
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,2014,-3,2652,38.437
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,2015,-2,2652,36.1263
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,2016,-1,2652,37.9588
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,2017,0,2652,40.049
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,2018,1,2652,37.7387
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,2019,2,2652,37.2346
angonap-fortaleza,angonap-fortaleza,tratamento,0.5-1km,2020,3,2652,37.525
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,2014,-3,886,34.5719
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,2015,-2,886,33.1472
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,2016,-1,886,35.6261
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,2017,0,886,36.8413
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,2018,1,886,33.9353
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,2019,2,886,35.0788
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0-0.5km,2020,3,886,34.4641
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,2014,-3,2642,32.3402
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,2015,-2,2633,31.4075
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,2016,-1,2642,32.3833
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,2017,0,2642,33.4753
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,2018,1,2642,31.7095
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,2019,2,2642,33.5614
angonap-fortaleza,ctrl-angonap-fortaleza-p01,controle,0.5-1km,2020,3,2642,32.6038
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,2015,-3,693,28.7389
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,2016,-2,693,28.2659
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,2017,-1,693,29.3278
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,2018,0,693,29.3625
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,2019,1,693,28.5103
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,2020,2,693,28.664
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,2021,3,693,28.0817
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,2015,-3,2618,29.7028
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,2016,-2,2618,28.8327
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,2017,-1,2618,29.4934
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,2018,0,2618,29.5077
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,2019,1,2618,29.5236
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,2020,2,2618,29.6675
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,2021,3,2618,28.9752
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,2015,-3,874,28.0898
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,2016,-2,874,25.8897
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,2017,-1,874,28.167
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,2018,0,874,24.2408
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,2019,1,874,27.2209
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,2020,2,874,26.0515
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,2021,3,874,26.8278
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,2015,-3,2611,28.2221
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,2016,-2,2611,26.4623
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,2017,-1,2610,29.2274
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,2018,0,2605,25.1224
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,2019,1,2611,27.6548
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,2020,2,2610,26.5538
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,2021,3,2610,27.5749
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,2016,-3,855,27.2774
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,2017,-2,855,29.3622
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,2018,-1,855,29.9346
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,2019,0,855,29.1539
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,2020,1,855,27.8541
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,2021,2,855,27.7208
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,2022,3,855,26.7937
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,2016,-3,2609,26.6944
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,2017,-2,2609,28.6162
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,2018,-1,2609,28.7458
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,2019,0,2609,28.2537
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,2020,1,2601,26.9032
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,2021,2,2608,26.6897
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,2022,3,2609,25.8244
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,2016,-3,875,23.9989
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,2017,-2,875,26.0825
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,2018,-1,875,27.2255
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,2019,0,875,26.1586
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,2020,1,875,23.5196
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,2021,2,875,26.0995
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,2022,3,875,24.0504
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,2016,-3,2628,23.0207
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,2017,-2,2628,25.5289
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,2018,-1,2628,26.158
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,2019,0,2628,24.7217
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,2020,1,2628,22.3871
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,2021,2,2628,25.2194
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,2022,3,2628,23.3437
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,2013,-1,856,36.65
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,2014,0,716,37.7926
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,2015,1,847,35.9173
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,2016,2,866,39.0086
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,2017,3,866,40.5105
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,2013,-1,2642,35.7875
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,2014,0,2642,36.7186
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,2015,1,2642,35.8209
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,2016,2,2642,38.8795
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,2017,3,2642,39.3673
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,2013,-1,884,33.3401
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,2014,0,884,34.8546
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,2015,1,884,33.0165
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,2016,2,884,35.2647
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,2017,3,884,35.4098
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,2013,-1,2647,33.2442
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,2014,0,2647,34.5327
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,2015,1,2647,32.6769
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,2016,2,2647,34.8073
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,2017,3,2647,35.0017
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,2017,-3,855,29.9196
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,2018,-2,855,25.8382
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,2019,-1,855,27.8916
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,2020,0,855,25.5216
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,2021,1,855,27.6729
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,2022,2,855,26.2375
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,2023,3,846,28.3541
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,2017,-3,2618,29.7343
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,2018,-2,2618,26.5542
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,2019,-1,2618,28.7077
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,2020,0,2618,26.6653
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,2021,1,2618,29.0107
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,2022,2,2618,27.1736
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,2023,3,2618,26.9492
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,2017,-3,861,27.7078
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,2018,-2,764,24.7642
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,2019,-1,869,27.0782
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,2020,0,781,24.5599
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,2021,1,874,24.9685
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,2022,2,874,24.4927
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,2023,3,874,25.602
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,2017,-3,2616,28.2896
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,2018,-2,2606,25.9525
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,2019,-1,2616,27.4497
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,2020,0,2549,25.5521
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,2021,1,2615,27.0549
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,2022,2,2618,25.775
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,2023,3,2616,25.6973
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,2016,-3,847,27.8143
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,2017,-2,847,29.1459
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,2018,-1,847,29.9622
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,2019,0,847,29.4626
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,2020,1,847,30.1967
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,2021,2,847,29.2053
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,2022,3,847,28.502
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,2016,-3,2610,27.9011
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,2017,-2,2610,28.9484
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,2018,-1,2610,30.1555
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,2019,0,2610,29.2905
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,2020,1,2610,29.9389
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,2021,2,2610,29.1477
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,2022,3,2610,28.2295
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,2016,-3,871,30.8801
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,2017,-2,871,32.3042
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,2018,-1,871,32.0292
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,2019,0,871,31.1722
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,2020,1,871,31.8952
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,2021,2,871,31.4845
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,2022,3,871,30.1965
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,2016,-3,2627,28.2087
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,2017,-2,2627,29.4176
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,2018,-1,2627,29.5913
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,2019,0,2627,28.719
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,2020,1,2627,29.2133
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,2021,2,2627,29.3549
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,2022,3,2627,27.7855
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2014,-3,842,30.0362
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2015,-2,842,29.9586
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2016,-1,842,28.3185
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2017,0,842,29.2821
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2018,1,842,28.7893
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2019,2,842,28.6989
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2020,3,842,29.6759
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2014,-3,2560,29.5721
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2015,-2,2560,28.934
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2016,-1,2560,27.4821
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2017,0,2560,28.5943
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2018,1,2560,28.5587
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2019,2,2560,27.7471
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2020,3,2560,29.1165
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2014,-3,874,27.8527
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2015,-2,874,28.3361
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2016,-1,874,26.923
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2017,0,874,27.0856
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2018,1,874,28.0577
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2019,2,874,26.5674
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2020,3,874,27.3969
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2014,-3,2611,27.8049
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2015,-2,2611,27.1355
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2016,-1,2611,25.8345
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2017,0,2611,26.7077
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2018,1,2611,28.0646
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2019,2,2611,26.5077
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2020,3,2611,27.4546
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2016,-3,871,24.7779
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2017,-2,871,29.3367
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2018,-1,871,27.4377
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2019,0,866,28.5756
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2020,1,764,27.3251
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2021,2,867,26.665
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2022,3,868,26.771
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2016,-3,2595,25.2508
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2017,-2,2595,29.4969
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2018,-1,2595,27.8002
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2019,0,2595,28.6831
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2020,1,2595,27.0184
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2021,2,2595,27.9343
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2022,3,2595,26.9204
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2016,-3,874,27.2678
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2017,-2,874,29.5056
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2018,-1,874,26.2059
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2019,0,874,27.9737
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2020,1,874,27.7994
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2021,2,874,30.6855
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2022,3,874,27.0184
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2016,-3,2615,27.9591
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2017,-2,2615,29.9006
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2018,-1,2615,26.5881
