campus,zona,delta_tratamento_c,delta_controle_c,excesso_c
angonap-fortaleza,0-0.5km,-0.5152,0.9119,-1.4271
angonap-fortaleza,0.5-1km,0.0982,1.2087,-1.1106
ascenty-hortolandia,0-0.5km,-0.1296,-0.5501,0.4205
ascenty-hortolandia,0.5-1km,0.0536,-0.2779,0.3315
ascenty-jundiai,0-0.5km,-1.0626,0.0343,-1.0968
ascenty-jundiai,0.5-1km,-1.3983,0.0068,-1.405
ascenty-maracanau,0-0.5km,2.5383,1.2399,1.2984
ascenty-maracanau,0.5-1km,2.8704,1.016,1.8543
ascenty-osasco,0-0.5km,-0.5831,-1.1886,0.6055
ascenty-osasco,0.5-1km,-1.0829,-1.3849,0.3021
ascenty-paulinia,0-0.5km,0.3736,-0.7517,1.1252
ascenty-paulinia,0.5-1km,0.2639,-0.243,0.5068
ascenty-sumare,0-0.5km,-0.81,-1.1123,0.3023
ascenty-sumare,0.5-1km,-0.8213,-0.489,-0.3322
ascenty-vinhedo,0-0.5km,-0.3393,0.4653,-0.8045
ascenty-vinhedo,0.5-1km,0.0535,-0.0485,0.102
equinix-santana-parnaiba,0-0.5km,-0.7741,-2.5991,1.825
equinix-santana-parnaiba,0.5-1km,-1.0778,-2.6257,1.5479
everest-goiania,0-0.5km,0.1829,0.9146,-0.7317
everest-goiania,0.5-1km,-0.2983,0.5096,-0.8079
hostdime-joao-pessoa,0-0.5km,-4.2154,-5.2963,1.0809
hostdime-joao-pessoa,0.5-1km,-4.7601,-4.3915,-0.3687
scala-tambore,0-0.5km,-1.2734,-2.2539,0.9806
scala-tambore,0.5-1km,-0.9779,-2.0957,1.1178
