site_id,municipio,uf,lat,lon,ano_inicio_obra,ano_referencia_pareamento,sensor,site_id_controle,lat_controle,lon_controle,dist_tratamento_controle_km,municipio_controle,uf_controle,metodo_municipio,l1_rf,l1_mapbiomas,qualidade,n_candidatos_validos,n_finalistas_rf,status,motivo
angonap-fortaleza,Fortaleza,CE,-3.734736,-38.462636,2017,2016,landsat,ctrl-angonap-fortaleza-p01,-3.697276,-38.601757,16.0,Caucaia,CE,municipio_vizinho_microrregiao_ibge,0.157896,0.384545,aceitavel,20,5,ok,
ascenty-hortolandia,Hortolândia,SP,-22.896022,-47.179246,2018,2017,landsat,ctrl-ascenty-hortolandia-p01,-22.968204,-47.044123,16.0,Campinas,SP,municipio_vizinho_microrregiao_ibge,0.036282,0.056711,bom,20,5,ok,
ascenty-jundiai,Jundiaí,SP,-23.191744,-46.974604,2019,2018,landsat,ctrl-ascenty-jundiai-p01,-23.24767,-46.74807,24.0,Campo Limpo Paulista,SP,municipio_vizinho_microrregiao_ibge,0.088258,0.043819,bom,6,5,ok,
ascenty-maracanau,Maracanaú,CE,-3.830803,-38.611253,2014,2013,landsat,ctrl-ascenty-maracanau-p03,-3.600568,-38.840375,36.0,Caucaia,CE,municipio_vizinho_microrregiao_ibge,0.854877,0.998641,ruim,20,5,ok,
ascenty-osasco,Osasco,SP,-23.492259,-46.777232,2020,2019,landsat,ctrl-ascenty-osasco-p01,-23.529577,-46.928574,16.0,Itapevi,SP,municipio_vizinho_microrregiao_ibge,0.265934,0.305542,ruim,11,5,ok,
ascenty-paulinia,Paulínia,SP,-22.7974087,-47.1345476,2019,2018,landsat,ctrl-ascenty-paulinia-p02,-22.707019,-47.303129,20.0,Americana,SP,municipio_vizinho_microrregiao_ibge,0.072125,0.281958,bom,20,5,ok,
ascenty-sumare,Sumaré,SP,-22.8069862,-47.2200481,2017,2016,landsat,ctrl-ascenty-sumare-p01,-23.059824,-47.220048,28.0,Indaiatuba,SP,municipio_vizinho_microrregiao_ibge,0.411088,0.256018,ruim,20,5,ok,
ascenty-vinhedo,Vinhedo,SP,-23.0700044,-47.0118926,2019,2018,landsat,ctrl-ascenty-vinhedo-p02,-22.817167,-47.011893,28.0,Campinas,SP,municipio_vizinho_microrregiao_ibge,0.131596,0.273312,aceitavel,20,5,ok,
clickip-manaus,Manaus,AM,-3.055564,-59.989801,2023,2022,s2,ctrl-clickip-manaus-p01,-3.200229,-60.239135,32.0,Iranduba,AM,municipio_vizinho_microrregiao_ibge,1.369247,1.726069,ruim,20,5,ok,
equinix-santana-parnaiba,Santana de Parnaíba,SP,-23.460369,-46.859912,2020,2019,landsat,ctrl-equinix-santana-parnaiba-p01,-23.315899,-46.859912,16.0,Cajamar,SP,municipio_vizinho_microrregiao_ibge,0.541542,0.610836,ruim,4,4,ok,
everest-goiania,Goiânia,GO,-16.6915189,-49.2371899,2021,2020,landsat,ctrl-everest-goiania-p01,-16.781817,-49.399659,20.0,Goiânia,GO,mesmo_municipio,0.8661,1.090066,ruim,20,5,ok,
hostdime-joao-pessoa,João Pessoa,PB,-7.117382,-34.856902,2017,2016,landsat,ctrl-hostdime-joao-pessoa-p01,-7.257127,-34.819403,16.0,Conde,PB,municipio_vizinho_microrregiao_ibge,0.655163,0.832959,ruim,18,5,ok,
scala-sgigsm01,São João de Meriti,RJ,-22.799883,-43.353842,2022,2021,s2,ctrl-scala-sgigsm01-p01,-22.872066,-43.48887,16.0,Rio de Janeiro,RJ,municipio_vizinho_microrregiao_ibge,0.862406,0.917307,ruim,20,5,ok,
scala-spoapa01,Porto Alegre,RS,-30.002768,-51.198149,2023,2022,s2,ctrl-scala-spoapa01-p01,-29.828483,-51.144592,20.0,Sapucaia do Sul,RS,municipio_vizinho_microrregiao_ibge,0.489003,0.628893,ruim,20,5,ok,
scala-tambore,Barueri,SP,-23.4948321,-46.8130769,2021,2020,landsat,ctrl-scala-tambore-p01,-23.404447,-46.982529,20.0,Pirapora do Bom Jesus,SP,municipio_vizinho_microrregiao_ibge,1.06251,1.260057,ruim,2,2,ok,
