site_id,tipo,pareado_com,municipio,uf,codigo_ibge,ano,populacao,populacao_tipo_estimativa,emprego_formal_total,pessoal_ocupado_total,numero_empresas,pib_mil_reais,municipio_compartilhado_com_par,data_extracao
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2303709,2014,,,41442.0,45566.0,3417.0,5582491.0,False,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2303709,2015,,,42197.0,46568.0,3593.0,5743008.0,False,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2303709,2016,358164.0,estimativa_intercensitaria,32371.0,36890.0,3855.0,5443796.0,False,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2303709,2017,362223.0,estimativa_intercensitaria,35519.0,40036.0,3720.0,5862516.0,False,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2303709,2018,363982.0,estimativa_intercensitaria,36006.0,40278.0,3514.0,5069517.0,False,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2303709,2019,361400.0,estimativa_intercensitaria,38933.0,43135.0,3545.0,6915884.0,False,2026-09-06
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,Caucaia,CE,2303709,2020,365212.0,estimativa_intercensitaria,38922.0,43328.0,3667.0,7171082.0,False,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2304400,2014,,,825189.0,910187.0,60799.0,56116644.0,False,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2304400,2015,,,796204.0,880791.0,60490.0,57211200.0,False,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2304400,2016,2609716.0,estimativa_intercensitaria,764914.0,847545.0,59046.0,60088001.0,False,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2304400,2017,2627482.0,estimativa_intercensitaria,757867.0,841351.0,58323.0,61592347.0,False,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2304400,2018,2643247.0,estimativa_intercensitaria,766815.0,849045.0,56922.0,66381302.0,False,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2304400,2019,2669342.0,estimativa_intercensitaria,763558.0,849116.0,60618.0,67401430.0,False,2026-09-06
angonap-fortaleza,tratamento,angonap-fortaleza,Fortaleza,CE,2304400,2020,2686612.0,estimativa_intercensitaria,729661.0,818765.0,62532.0,64821582.0,False,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,3509502,2015,,,414177.0,476759.0,47707.0,57154532.0,False,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,3509502,2016,1173370.0,estimativa_intercensitaria,400781.0,462579.0,47742.0,57778152.0,False,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,3509502,2017,1182429.0,estimativa_intercensitaria,401356.0,462058.0,46483.0,58469540.0,False,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,3509502,2018,1194094.0,estimativa_intercensitaria,401348.0,461871.0,46943.0,61388555.0,False,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,3509502,2019,1204073.0,estimativa_intercensitaria,400552.0,464714.0,51008.0,65837258.0,False,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,3509502,2020,1213792.0,estimativa_intercensitaria,385683.0,452658.0,53005.0,65158382.0,False,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,3509502,2021,1223237.0,estimativa_intercensitaria,404030.0,474810.0,56149.0,72946910.0,False,2026-09-06
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,Campinas,SP,3509502,2022,1139047.0,censo,420374.0,532090.0,82954.0,80646591.0,False,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,3519071,2015,,,44481.0,50527.0,4660.0,11010484.0,False,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,3519071,2016,219039.0,estimativa_intercensitaria,43916.0,49728.0,4551.0,11245733.0,False,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,3519071,2017,222186.0,estimativa_intercensitaria,45683.0,51170.0,4340.0,12411319.0,False,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,3519071,2018,227353.0,estimativa_intercensitaria,43989.0,49529.0,4437.0,13154947.0,False,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,3519071,2019,230851.0,estimativa_intercensitaria,46222.0,51965.0,4759.0,14738378.0,False,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,3519071,2020,234259.0,estimativa_intercensitaria,46849.0,53067.0,5044.0,16386639.0,False,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,3519071,2021,237570.0,estimativa_intercensitaria,48701.0,55322.0,5502.0,18377822.0,False,2026-09-06
ascenty-hortolandia,tratamento,ascenty-hortolandia,Hortolândia,SP,3519071,2022,236641.0,censo,52612.0,63078.0,8386.0,21420797.0,False,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,3509601,2016,81693.0,estimativa_intercensitaria,12236.0,14167.0,1269.0,1764249.0,False,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,3509601,2017,82520.0,estimativa_intercensitaria,12495.0,14462.0,1269.0,1850600.0,False,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,3509601,2018,83735.0,estimativa_intercensitaria,12560.0,14241.0,1238.0,2102640.0,False,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,3509601,2019,84650.0,estimativa_intercensitaria,11696.0,13652.0,1367.0,2145809.0,False,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,3509601,2020,85541.0,estimativa_intercensitaria,11728.0,13575.0,1413.0,2219744.0,False,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,3509601,2021,86407.0,estimativa_intercensitaria,12064.0,13816.0,1497.0,2530950.0,False,2026-09-06
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,Campo Limpo Paulista,SP,3509601,2022,77632.0,censo,12809.0,15788.0,2446.0,2976085.0,False,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,3525904,2016,405740.0,estimativa_intercensitaria,165524.0,188904.0,17099.0,40317016.0,False,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,3525904,2017,409497.0,estimativa_intercensitaria,161787.0,186225.0,17707.0,41084447.0,False,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,3525904,2018,414810.0,estimativa_intercensitaria,164279.0,188446.0,17788.0,43630306.0,False,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,3525904,2019,418962.0,estimativa_intercensitaria,167534.0,194183.0,20143.0,46959283.0,False,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,3525904,2020,423006.0,estimativa_intercensitaria,162810.0,191073.0,20889.0,51740230.0,False,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,3525904,2021,426935.0,estimativa_intercensitaria,177226.0,206743.0,21969.0,57670893.0,False,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,3525904,2022,443221.0,censo,181896.0,225325.0,31733.0,63835907.0,False,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2303709,2013,,,34004.0,38400.0,3837.0,4750602.0,False,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2303709,2014,,,41442.0,45566.0,3417.0,5582491.0,False,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2303709,2015,,,42197.0,46568.0,3593.0,5743008.0,False,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2303709,2016,358164.0,estimativa_intercensitaria,32371.0,36890.0,3855.0,5443796.0,False,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2303709,2017,362223.0,estimativa_intercensitaria,35519.0,40036.0,3720.0,5862516.0,False,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2307650,2013,,,56744.0,61544.0,3760.0,6291122.0,False,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2307650,2014,,,57586.0,62149.0,3524.0,7029386.0,False,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2307650,2015,,,60275.0,64818.0,3777.0,7896114.0,False,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2307650,2016,223188.0,estimativa_intercensitaria,53956.0,58251.0,3557.0,8100726.0,False,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2307650,2017,224804.0,estimativa_intercensitaria,54196.0,58347.0,3422.0,8540212.0,False,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,3522505,2017,229502.0,estimativa_intercensitaria,32878.0,35618.0,2501.0,11253728.0,False,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,3522505,2018,234352.0,estimativa_intercensitaria,33766.0,36534.0,2475.0,12156244.0,False,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,3522505,2019,237700.0,estimativa_intercensitaria,34543.0,37458.0,2659.0,12051610.0,False,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,3522505,2020,240961.0,estimativa_intercensitaria,33252.0,36275.0,2773.0,11873293.0,False,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,3522505,2021,244131.0,estimativa_intercensitaria,35282.0,38552.0,2997.0,12854995.0,False,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,3522505,2022,232297.0,censo,38338.0,44711.0,5550.0,15017261.0,False,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,3522505,2023,,,40994.0,47708.0,5904.0,15615097.0,False,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,3534401,2017,697886.0,estimativa_intercensitaria,156613.0,176694.0,16133.0,77927043.0,False,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,3534401,2018,696850.0,estimativa_intercensitaria,158207.0,177863.0,15878.0,76607992.0,False,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,3534401,2019,698418.0,estimativa_intercensitaria,161102.0,181906.0,18330.0,81908401.0,False,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,3534401,2020,699944.0,estimativa_intercensitaria,158995.0,180746.0,18952.0,76612072.0,False,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,3534401,2021,701428.0,estimativa_intercensitaria,178496.0,201049.0,20631.0,86111260.0,False,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,3534401,2022,728615.0,censo,191047.0,232878.0,38468.0,112145798.0,False,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,3534401,2023,,,209469.0,253872.0,40717.0,119404053.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2016,231621.0,estimativa_intercensitaria,71436.0,86451.0,11142.0,10435437.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2017,233868.0,estimativa_intercensitaria,71413.0,86444.0,11106.0,10984203.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2018,237112.0,estimativa_intercensitaria,70836.0,86384.0,11301.0,11340521.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2019,239597.0,estimativa_intercensitaria,71482.0,87617.0,11983.0,11861436.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2020,242018.0,estimativa_intercensitaria,69998.0,86888.0,12458.0,11956361.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2021,244370.0,estimativa_intercensitaria,74248.0,92027.0,13170.0,15217280.0,False,2026-09-06
