pareado_com,inclinacao_tratamento_pp_ano,inclinacao_controle_pp_ano,diferenca_pp_ano
angonap-fortaleza,0.3404,0.6312,-0.2908
ascenty-hortolandia,2.1937,0.2663,1.9273
ascenty-jundiai,-0.2913,-0.0306,-0.2607
ascenty-osasco,-1.1455,-1.1838,0.0383
ascenty-paulinia,0.0538,0.286,-0.2322
ascenty-sumare,0.4503,-0.1076,0.5578
ascenty-vinhedo,0.4495,0.0221,0.4274
clickip-manaus,1.072,0.1051,0.9669
equinix-santana-parnaiba,-1.1337,-0.342,-0.7917
everest-goiania,-0.0247,1.0902,-1.115
hostdime-joao-pessoa,1.4052,1.4938,-0.0886
scala-sgigsm01,0.4634,0.7124,-0.249
scala-spoapa01,1.0878,1.3921,-0.3042
scala-tambore,-0.1453,-0.8993,0.7541
